,,,,,,,,,,
ただ君だけを、守りたいと願う　4章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
1,,ーー魔王城来賓室にて、オレンドが心ここにあらずな感じでサラと応答する。,,,,,none,背景切り替え/BGM開始(空が泣いている),35,017_office_sara
3,sara,それで、傀儡師は戦争を離脱したいと、そういうことですか？,,,L,normal,talk,,28,
4,orend,そうさ...俺たちの一族はもう半分も残っちゃいねぇからよー。,,,R,normal,talk,,30,
5,sara,そうですか。どの族長も苦しんでいます。それでも皆苦心して戦っていることをご存知ですか...。,,,L,confuse,talk,,46,
5,sara,といっても、今のあなたには何も響かないでしょうが。,,,L,confuse,talk,,25,
6,orend,・・・さぁな、俺は死んだらしい族長の代わりにここにいるだけだからよー。,,,R,normal,talk,,35,
7,sara,でしょうね。,,,L,normal,talk,,6,
8,orend,・・・,,,R,normal,talk,,3,
9,sara,ふん。傀儡師の長と聞いて呆れるわ。,,,L,confuse,talk,,17,
10,orend,・・・好きにしてくれ...。,,,R,confuse,talk,,14,
11,sara,・・・あなたね...はぁ...いいわ。魔王様に離脱の可否を確認してきます。,,,L,confuse,talk,,37,
12,orend,・・・,,,R,confuse,talk,,3,
13,sara,では、少々お待ちください。失礼します。,,,L,confuse,talk,,19,
15,,ーー魔王の部屋,,,,,none,背景切り替え,7,028_Inside_Castle
16,volcus,ふむ。この度の戦いは大敗だったか。,,,L,normal,talk,※口角下がり顔,17,
17,sara,申し訳ございません。ヴォルカス様。,,,R,normal,talk,,17,
18,volcus,・・・よい。ギルディめ...。して、どの程度やられたのか。,,,L,angry,talk,,29,
19,sara,此度の戦、海戦で３隻の戦艦、１０頭の海龍族。陸上で２台の移動砲台、と、多数の傀儡師がやられました。,,,R,confuse,talk,,49,
,sara,次に同じ規模での侵攻があれば、この魔王城まで手が伸びるかもしれません。,,,R,confuse,talk,,35,
20,volcus,ふむ...。まさに、大敗だな。,,,L,normal,talk,※口角下がり顔,15,
21,sara,・・・そうですね。,,,R,confuse,talk,,9,
22,volcus,ふむ。,,,L,normal,talk,※口角下がり顔,3,
23,sara,それと、もう一つ。,,,R,normal,talk,,9,
,sara,今回の大敗を受けて、傀儡師の長(おさ)を名乗るオレンドという者より、戦争より離脱したいと申し入れがありました。,,,R,normal,talk,,55,
24,volcus,ほう。,,,L,normal,talk,※口角下がり顔,3,
25,sara,どういたしましょうか。,,,R,normal,talk,,11,
26,volcus,・・・かまわぬが...一度顔を見ることはできるか。,,,L,normal,talk,※口角下がり顔,25,
27,sara,かしこまりました。,,,R,normal,talk,,9,
28,volcus,して、そのオレンドとやらは、どこにおる。,,,L,normal,talk,※口角下がり顔,20,
29,sara,来賓室に通しております。,,,R,normal,talk,,12,
30,volcus,うむ。,,,L,normal,talk,※口角下がり顔,3,
31,sara,こちらです。,,,R,normal,talk,,6,
33,,ーーサラとヴォルカスが来賓室に着く,,,,,none,背景切り替え,17,017_office_sara
34,sara,（ドアをノックする）失礼するわね。,,,L,normal,talk,,17,
35,orend,・・・。,,,R,normal,talk,,4,
36,sara,お待たせしました。ただ今魔王様に戦線離脱の件を伝えてまいりました。,,,L,normal,talk,,33,
37,orend,・・・そうかい、で、どうだったんだい。,,,R,normal,talk,,19,
38,sara,離脱を許可するとのことです。,,,L,normal,talk,,14,
39,orend,・・・そうかい。,,,R,normal,talk,,8,
40,sara,それと...魔王様が直接面会されると仰ってます。,,,L,normal,talk,,24,
41,orend,・・・そうかい。,,,R,normal,talk,,8,
42,sara,・・・無礼のないように。ヴォルカス様、どうぞ。,,,L,normal,talk,,23,
43,volcus,ふむ。,,,L,normal,talk,※口角下がり顔,3,
44,sara,では、私はこれで。外に控えておりますので、ご用があればお呼びください。,,,L,normal,talk,,35,
45,orend,・・・,,,R,normal,talk,,3,
46,volcus,ふむ。,,,L,normal,talk,,3,
47,orend,・・・,,,R,confuse,talk,,3,
48,volcus,そなたが、オレンド、か。,,,L,normal,talk,,12,
49,orend,・・・そうさ。,,,R,confuse,talk,,7,
50,volcus,して、此度の戦は大敗であったな。,,,L,normal,talk,,16,
51,orend,・・・そうだな。,,,R,confuse,talk,,8,
52,volcus,私は、皆にすまないと思っている。人族の老師が率いる侵攻において、私は頼りない王だ。,,,L,normal,talk,,41,
53,orend,・・・,,,R,confuse,talk,,3,
54,volcus,して、そなたに仲間はおるか。,,,L,normal,talk,,14,
55,orend,・・・いる...けど、いねぇ。名前しかしらねぇ。,,,R,confuse,talk,,24,
56,volcus,ほう。,,,L,normal,talk,,3,
57,orend,・・・。,,,R,confuse,talk,,4,
58,volcus,私はそなたの求めに応じる。その見返りとして、話してはくれぬか。,,,L,normal,talk,,31,
