秒数,布陣,キャラクター,レベル,敵名,リソース,,,,,
2,敵,Enemy_03,0
2.4,敵,Enemy_03,0
3,敵,Enemy_01,0
3.2,敵,Enemy_01,0
3.6,敵,Enemy_02,0
24.6,敵,Enemy_05,0
25.2,敵,Enemy_07,0
25.8,敵,Enemy_04,0
26.4,敵,Enemy_04,0
27,敵,Enemy_06,0
27.6,敵,Enemy_06,0
28.2,敵,Enemy_05,0
28.8,敵,Enemy_05,0
29.4,敵,Enemy_06,0
30,敵,Enemy_05,0
30.6,敵,Enemy_04,0
31.2,敵,Enemy_07,0
31.8,敵,Enemy_06,0
32.4,敵,Enemy_05,0
33,敵,Enemy_04,0
33.6,敵,Enemy_07,0
34.2,敵,Enemy_06,0
34.8,敵,Enemy_05,0
35.4,敵,Enemy_04,0
36,敵,Enemy_07,0
38,敵,Enemy_19,1
