秒数,布陣,キャラクター,レベル,敵名,リソース,,,,,
1,敵,Enemy_08,0
3,敵,Enemy_10,0
5,敵,Enemy_08,0
7,敵,Enemy_10,0
9,敵,Enemy_04,0
10,敵,Enemy_05,0
11,敵,Enemy_06,0
12,敵,Enemy_07,0
13,敵,Enemy_04,0
14,敵,Enemy_05,0
15,敵,Enemy_06,0
16,敵,Enemy_07,0
17,敵,Enemy_04,0
18,敵,Enemy_05,0
19,敵,Enemy_06,0
20,敵,Enemy_07,0
21,敵,Enemy_04,0
22,敵,Enemy_05,0
23,敵,Enemy_06,0
24,敵,Enemy_07,0
30,敵,Enemy_04,0
31,敵,Enemy_05,0
32,敵,Enemy_06,0
33,敵,Enemy_07,0
34,敵,Enemy_04,0
35,敵,Enemy_05,0
36,敵,Enemy_06,0
37,敵,Enemy_07,0
40,敵,Enemy_08,0
42,敵,Enemy_10,0
44,敵,Enemy_08,0
46,敵,Enemy_10,0
