,,,,,,,,,,
ただ君だけを、守りたいと願う　3章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,#REF!,背景画像名
133,,ーーロクシーが付近の魔物を蹴散らしている。足元を中心に数メートル範囲に魔法陣が書かれている。そこへヴォルカスが訪れる。,,,,,none,場面切り替え/BGM切り替え(ラテンダンス)/背景切り替え,48,026_loxy_magiccircle
134,loxy,うおりゃあああああああ！どっっっかあああん！...ああもう！しつこい！！てええりゃああああああ！,,,R,angry,talk,爆発SE,29,
134,loxy,どっっっかあああん...はぁ...、はあ！あんたたちねえ！,,,R,angry,talk,,36,
134,loxy,私は探検に来ただけなのに！なあんで食ってかかってくるのよ！邪魔しないで！,,,R,angry,talk,,17,
1,volcus,ふむ。随分と豪快な...。ん..？,,,L,smile,talk,,36,
2,loxy,はぁはぁ...ん？あなた...あなたも私の冒険の邪魔をしようっていうの？,,,R,angry,talk,,14,
3,volcus,そなた手加減をしていたのか？,,,L,smile,talk,,2,
4,loxy,へ？,,,R,normal,talk,,20,
5,volcus,死なぬように手加減したか、と聞いておる。,,,L,smile,talk,,39,
6,loxy,・・・はぁ...へぇ。それで...してないって言ったらあなたは私をどうするの？,,,R,normal,talk,,19,
7,volcus,ふむ。こうする。（手から魔導波が出る）,,,L,smile,talk,,16,
8,loxy,きゃあ！！危ないじゃない！急に！,,,R,angry,talk,,16,
9,volcus,ふむ。この魔法陣がその力の元か。,,,L,smile,talk,,12,
10,loxy,ちょっと近寄らないで！！,,,R,angry,talk,,27,
11,volcus,邪魔だ。（ロクシーを見向きもせず、体から魔導波が出る）,,,L,smile,talk,,21,
12,loxy,きゃあ！！！ちょ、ちょっと！あんたねぇ！！,,,R,angry,talk,,31,
13,volcus,ふむ。良くできた古代魔法だ。人の娘よ。どこでこれを知ったのだ。,,,L,smile,talk,,52,
14,loxy,はぁ！？なんであんたみたいな良くわからないやつに教えないといけないのよ！あんたもトレジャーハンターなの？,,,R,angry,talk,,30,
15,volcus,ふむ。私を知らぬのか。面白い。私はヴォルカスという。魔王だ。,,,L,smile,talk,,22,
16,loxy,ふーん。私はロクシー！トレジャーハンターよ！,,,R,angry,talk,,16,
17,volcus,ほう。ロクシーか。良い名前だな。,,,L,smile,talk,,10,
18,loxy,世界で一番立派なね！,,,R,angry,talk,,7,
19,volcus,・・・嘘だな。,,,L,smile,talk,,26,
20,loxy,う、嘘じゃないわよ！これからなるんだから！これから！,,,R,angry,talk,,26,
21,volcus,してロクシーよ。この古代魔法は、良くできてはいるが。,,,L,smile,talk,,12,
,volcus,（指を噛む）,,,L,smile,talk,指を噛むSE,,
22,loxy,え！？な、何してるの！？,,,R,angry,talk,,17,
23,volcus,完璧ではない。ここが間違っておる。,,,L,smile,talk,魔法のSE,17,
24,loxy,え！？ちょ、ちょっとぉ！なんで！？,,,R,angry,talk,,28,
25,volcus,ふむ。これでそなたの力は人並みとなった。観念するとよい。,,,L,smile,talk,,32,
26,loxy,え！どうやったの！？ねえ！あなた、古代魔法について知っているの？,,,R,angry,talk,,58,
26,loxy,私も完璧ではないと思っていたんだけど！何が悪いのか全然わからなくて！ねえ！あなたは誰なの！？どうして知っているの！？,,,R,angry,talk,,7,
27,volcus,ふ...ふむ。,,,L,smile,talk,,45,
28,loxy,私はロクシー！あなたは...ヴォルカスだっけ？あ！ヴォルカス！ほんとに！え？ヴォルカス！？,,,R,normal,talk,,52,
,loxy,私ね、遺跡で見つけた本で読んだことがあるの！あなた、まさか神話時代から生きているヴォルカスなの！？ねえ！,,,R,normal,talk,,22,
29,volcus,ふ、ふむ。一度、落ち着ける場所に行かぬか。,,,L,smile,talk,,#REF!,
31,,ーーロクシーを連れて魔王城に帰る。,,,,,none,場面切り替え/BGM切り替え(Old_Style)/背景切り替え,33,028_Inside_Castle
32,sara,おかえりなさいませ。ヴォルカス様...。その人族はどちら様ですか？,,,L,normal,talk,,6,
33,volcus,ふむ...。,,,L,smile,talk,,18,
34,loxy,私はロクシー！トレジャーハンターよ！,,,R,normal,talk,,9,
35,volcus,・・・とのことだ。,,,L,smile,talk,,32,
36,sara,・・・はぁ。で、そのトレジャーハンターが魔王城になんの用ですか？,,,L,confuse,talk,,8,
37,loxy,あなたこそ誰よ！,,,R,angry,talk,,25,
38,sara,私はサラです。この城の雑務を取り仕切る執務官です。,,,L,confuse,talk,,9,
39,volcus,ふむ。私が招いた。,,,L,smile,talk,,23,
40,sara,見ればわかります。で、な・ん・の用なんですか？,,,L,confuse,talk,,35,
41,loxy,ヴォルカスに古代文明のことを聞きに来たの！ひっ！（胸に違和感を感じる）,,,R,angry,talk,,35,
42,sara,ヴォルカス様のことを呼び捨てにするとは。今この場で呪い殺しましょうか？,,,L,angry,talk,,12,
43,volcus,サラよ。私が許しておる。,,,L,smile,talk,,9,
44,sara,・・・そうですか。,,,L,confuse,talk,,12,
45,volcus,そなたの忠義に感謝する。,,,L,smile,talk,,24,
46,loxy,いっ...ふー...助かったぁ。死ぬかと思った。,,,R,normal,talk,,12,
47,volcus,すまぬな。手荒な歓迎で。,,,L,smile,talk,,27,
48,loxy,いいわよ。どうせ、歓迎されないのはわかってるんだから。,,,R,normal,talk,,19,
49,orend,はっはっはっはあ！サラは真面目だなぁ！,,,L,unique,talk,,5,
50,loxy,わっ！わ！,,,R,confuse,talk,,50,
51,orend,そーんなに怒ってばっかりだと幸せが逃げてくぞー！よいしょっと、アンハッピーアンハッピー！...ほい！,,,L,normal,talk,,14,
52,loxy,へ？わっ！（はりつけになる）,,,R,angry,talk,,12,
53,volcus,オレンドよ。悪趣味だぞ。,,,L,confuse,talk,,8,
54,sara,帰ってきたのね。,,,L,confuse,talk,,30,
55,orend,はっはっはー！初めまして、ロクシー！俺は傀儡師のオレンドさ！,,,L,normal,talk,,38,
55,orend,ヴォルカス様が一人で出て行ったってサラが震えた声で連絡してくるもんだからー！,,,L,normal,talk,,25,
55,orend,きてみたら可愛い可愛いレディーがいるじゃないかあ！,,,L,normal,talk,,28,
56,loxy,え！わっ！おっとっと！（無理矢理ステップを踏ませられる）,,,R,normal,talk,,13,
57,orend,踊ろうぜぇ！！はっはっは！,,,L,smile,talk,,13,
58,loxy,こ、こら！わぁ！離して！！,,,R,angry,talk,,35,
59,volcus,うむ。落ち着くのだ。久しく訪れた客人だからといって、はしゃがぬことだ。,,,L,smile,talk,,#REF!,
61,,ーーイーラとシャンディが今のシーンについて会話する,,,,,none,場面切り替え/背景切り替え/BGM切り替え(自然の中でゆったりと),25,024_rest_rooms
62,shandy,ねえ、このオレンドってさ、あのオレンドなのかしら？,,,R,normal,talk,,22,
63,era,わかんないの...オレンド、覚えてないって。,,,L,normal,talk,,22,
64,shandy,あー、そっか。でもなんか似てるわね。ふふふ。,,,R,normal,talk,,8,
65,era,うん！そっくり！,,,L,normal,talk,,38,
66,shandy,ね。このシーン、突然オレンドが出てきたように見えたけど、どこかに潜んでたの？,,,R,normal,talk,,30,
67,era,うん。ママの鞄の中から出てきたんだって、ヴェルは言ってたよ！,,,L,normal,talk,,6,
68,shandy,へー...。,,,R,normal,talk,,#REF!,
70,,ーーオレンドが呪いを解いて話は続く,,,,,none,場面切り替え/BGM切り替え(Old_Style)/背景切り替え,59,028_Inside_Castle
71,orend,でえ！ヴォルカス様はどーして人族のレーディを連れてきちゃったんですかぁー？は！まさかあ！LOVE！？一目惚れですか！？,,,R,normal,talk,,44,
72,volcus,ふむ。その者が古代魔法の使い手でな。なかなか懐かしきものを見たゆえ、礼として招待をした。,,,L,smile,talk,,8,
73,sara,古代魔法ですか。,,,R,normal,talk,,12,
74,volcus,そうだ。神代の魔法陣だ。,,,L,smile,talk,,21,
75,orend,へぇ〜。こんな娘っ子がねぇ〜。あっはっは！,,,R,angry,talk,,58,
76,loxy,ん！？なによ！こう見えて、人大陸は端から端まで冒険したんだから！そういうあんたは頭がゆるそうな顔してるわね！ふふん！,,,L,angry,talk,,50,
