,,,,,,,,,,
ただ君だけを、守りたいと願う　１章　スクリプト,,,,,,,,,,
1,,,,,,,none,背景設定のため箇所,0,03_batle_field
2,eleth,憤怒に任せて剣を振るうヴォルカスはまさに一騎当千。一人で何千、何万もの敵の兵士を蹴散らしました。,,,R,normal,talk,,48,
3,eleth,そして、戦いの最中ふとあることに気ついたのです。,,,R,normal,talk,,24,
4,volcus,私が切り捨てた者たちは、誰なのだろうか。誰と共に暮らし、誰のために戦っているのだろうか。,,,R,cry,talk,,44,
5,eleth,ヴォルカスは逡巡(しゅんじゅん)します。しかし、聖戦は待ってはくれず、１日また１日と多くの人々の命が地に帰っていくのです。,,,R,normal,talk,,53,
6,eleth,三日三晩思い悩んだヴォルカスは、ふとイルミアに問いかけたのです。,,,R,normal,talk,,32,
7,volcus,イルミア様、私には愛がわからなくなりました。憎しみもわからなくなりました。イルミア様、愛とはなんなのでしょうか。,,,R,cry,talk,,56,
8,eleth,イルミアは静かに答えました。,,,R,normal,talk,,14,
9,eleth,私にもわかりません。ただ其方が愛を望むのであれば私は、私の愛を、其方に授けましょう。,,,R,normal,talk,,42,
10,eleth,イルミアの加護を受けたヴォルカスは敵を殺すでもなく、それぞれの国の間を真っ二つに割りました。,,,R,normal,talk,,46,
11,eleth,それが今に残る魔海溝となったのです。,,,R,normal,talk,,18,
12,,,,,,,none,転換のため背景切り替え,0,01_night_room
13,era,むにゃむにゃ。,,,L,unique,talk,,7,
14,eleth,クス、こんな本でも寝れるのね。あなたのママにそっくりね。,,,R,smile,talk,,28,
15,era,むにゃ...それで...ヴォルカスは...どうなっ...たの？？,,,L,unique,talk,,32,
16,eleth,ヴォルカスは、世界に溢れる争いの気を根こそぎ吸い取って、憎しみと破壊の神になりました。,,,R,normal,talk,,43,
17,eleth,その日、世界に魔王が誕生したのでした。,,,R,unique,talk,,19,
18,era,むにゃ...王様になったのね...ヴォルカス..よかった...ね。,,,L,unique,talk,,33,
19,,,,,,,none,転換のためのBGM(自然の中でゆったりと)/背景切り替え,0,006_ afternoon_town
20,,「１０年前、１０００年にもわたる人族と魔族の争いに決着がついた日。今日は、人魔終戦記念日。,,,,normal,talk,テキストのみ,45,
21,,人々は平和を歌い、勇敢を語り、発展を踊る。歌と踊りを肴に酒飲み語り合う。それが人魔終戦記念祭。,,,,normal,talk,テキストのみ,47,
