,,,,,,,,,,
ただ君だけを、守りたいと願う　6章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
2,,ーー魔王城でヴォルカスとロクシー、オレンド、サラが会話をしている,,,,,none,BGM開始(小さな幸せとエトセトラ的なBGM)/背景・場面切り替え,32,028_Inside_Castle
3,volcus,ロクシーよ、気をつけるのだ。,,,R,smile,talk,,14,
4,loxy,うん！ありがと！ヴォルカス！,,,L,normal,talk,,14,
5,sara,戦時ですから、途中何があるかわかりません。細心の注意を払って、警戒を怠らないでください。,,,R,normal,talk,,44,
6,loxy,うん、サラ、ありがと。,,,L,normal,talk,,11,
7,sara,あなたは悪運が強そうなので、大丈夫かもしれませんが。,,,R,normal,talk,,26,
8,loxy,ふふふ。そうかもね。サラも体には気をつけて、元気な赤ちゃんが生まれるといいわね。,,,L,normal,talk,,40,
9,sara,ありがとう。,,,R,normal,talk,,6,
10,volcus,ふむ。オレンドよ、道中を頼む。,,,R,smile,talk,,15,
11,orend,おおよ！任しときなー！んじゃ、ロクシー頼むぜぇ、俺はバッグの中でのーんびり寝てるからよ！好きな時に呼んでくれー！,,,L,normal,talk,,56,
12,sara,オレンド、人の街に入る時は、あなたは外で待機すること。,,,R,normal,talk,,27,
13,orend,サラは心配性だなぁ！魔素感知器があんだろー？わかってるよー！はっはっはー！,,,L,normal,talk,,37,
14,volcus,ふむ。オレンドも気をつけるのだぞ。,,,R,smile,talk,,17,
15,orend,おおよー！,,,L,normal,talk,,5,
16,sara,では。,,,R,normal,talk,,3,
17,loxy,うん！,,,L,normal,talk,,3,
18,sara,またお帰りになる日をお待ちしてますね。ロクシーさん。,,,R,normal,talk,,26,
19,loxy,うん！ママに顔だけだしたら帰ってくるから！・・・ヴォルカス！,,,L,normal,talk,,30,
20,volcus,どうした。,,,R,smile,talk,,5,
21,loxy,ありがとね！色々教えてくれて！大好き！,,,L,normal,talk,,19,
22,volcus,ふむ。そなたの帰りを待っておる。,,,R,smile,talk,,16,
23,loxy,うん！じゃ！いこっか！オレンド！,,,L,normal,talk,,16,
24,orend,おおよー！探検だー！冒険だー！じゃーなー！はっはっはー！,,,L,normal,talk,,28,
25,sara,二人とも、気をつけるのよー！,,,R,normal,talk,,14,
26,loxy,はーい！二人も元気でねー！,,,L,normal,talk,,13,
27,sara,・・・さて、ヴォルカス様、城へ戻りましょうか。忙しくなりますね。,,,R,normal,talk,,32,
28,volcus,ふむ。して、サラよ。,,,L,smile,talk,,10,
29,sara,なんでしょう？,,,R,normal,talk,,7,
30,volcus,そなたには負担をかけてすまない。近頃、苦慮(くりょ)していることはないか。,,,L,smile,talk,,37,
31,sara,ありがとうございます。そうですね...ありません。オレンドが不在となると少し寂しくなるなぁ、ということでしょうか。,,,R,normal,talk,,57,
32,volcus,そうか。,,,L,smile,talk,,4,
33,sara,はい。,,,R,normal,talk,,3,
34,volcus,重さを感じたら、私のところへ来ると良い。,,,L,smile,talk,,20,
35,sara,ありがとうございます。,,,R,normal,talk,,11,
36,volcus,抱えがちなそなたのことだ、無理に介入すると気に触るであろう。無理強いせぬが。サラもまた、私の大切な者の一人である。,,,L,smile,talk,,57,
37,sara,・・・ありがとうございます。身に余る光栄です。,,,R,normal,talk,,23,
39,,ーー魔王城でヴォルカスとロクシー、オレンド、サラが会話をしている,,,,,none,場面切り替え/背景切り替え/BGM切り替え(ブルーシャドウ)(ここのト書きはミス？),32,028_Inside_Castle
41,silhouette_monster,で、魔王様が溺愛した人族の女は人里へ返したと！なぜだ！なぜ殺さぬのだ！,,,R,normal,talk,,35,
42,sara,先回の会議でも説明したはずですが。,,,L,confuse,talk,,17,
42,sara,ロクシー様は我が軍の新たな魔鉱石の調達源の発見や、時に城近くの魔族の救助にも参加しています。,,,L,confuse,talk,,46,
43,silhouette_monster,ふん、だからなんだと言うのだ！,,,R,normal,talk,,15,
44,silhouette_monster,呪術師の女(おなご)よ。そこまでは許そう。じゃが、傀儡の長を人族の街にまで同行させる理由は何か。,,,R,smile,talk,,48,
44,silhouette_monster,わしは魔王様を信じておるが、さすがに寵愛が過ぎるのではなかろうか。,,,R,smile,talk,,33,
45,sara,お言葉ですが。ロクシー様は魔王城で今後も過ごされるご予定です。,,,L,normal,talk,,31,
45,sara,魔王様との婚姻を人族の習慣にならい、母に報告したいと。いずれオレンド共にお戻りになります。,,,L,normal,talk,,45,
46,silhouette_monster,なんと！では、また愚かな人風情が私たちの城を汚して回るのか！,,,R,normal,talk,,30,
46,silhouette_monster,聞けば、好き放題城を動き回っているという！呪術師よ、貴様の管理が甘いのではないか！,,,R,normal,talk,,41,
47,silhouette_monster,まぁまぁ、みなさん。ねぇ、サラさん。私たち戦争で戦う者たちへの気持ちはどうなっているのかしら。,,,R,cry,talk,,47,
47,silhouette_monster,私の部族は人族の兵士にひどく気に入られて、散々な仕打ちをされて壊れて消える者もおりますわ。,,,R,cry,talk,,45,
47,silhouette_monster,流石に何もお咎めなし、なんてことにはいかないのだけれど。,,,R,cry,talk,,28,
48,sara,だから何度も説明したはずですが。人にも様々な者がいると。ロクシー様は我々に危害を加える者ではありません。,,,L,confuse,talk,,52,
48,sara,・・・これ以上このくだらない問答を続けるのであれば、魔族らしく力で確かめ合いますか？どうしてもわからないようですから。,,,L,confuse,talk,,59,
49,silhouette_monster,ふん。貴様に勝てないことなど分かっている。ここは力で争う場ではない。,,,R,normal,talk,,34,
50,silhouette_monster,そうじゃ。わしらは憂いておる。この魔王軍が瓦解するのではないか、と。,,,R,smile,talk,,34,
51,silhouette_monster,うふふ。それにしても、わかりませんねぇ。,,,R,cry,talk,,20,
,silhouette_monster,あなたほどの術者なら、月の刻印でも使えば、そのロクシーという女を簡単に手にかけられそうなのに。,,,R,cry,talk,,47,
52,sara,そのようなことをするつもりは毛頭にありません。,,,L,normal,talk,,23,
53,silhouette_monster,まぁ、わしらが敗北したとしてもそなたの責任ではない。ただ、わし等龍人が魔素に還るそれだけじゃ。,,,R,smile,talk,,47,
54,silhouette_monster,俺は納得いかねぇ！くそ！負け込んでるってのによ！,,,R,normal,talk,,24,
55,silhouette_monster,サラさんの立場が辛いことは私たちもわかりますけど、あなたが選ぶしかないのよ。,,,R,cry,talk,,38,
55,silhouette_monster,私たちには魔王様の目を盗んでその女を手にかける力はないわ。ねぇ。選べるのはあなただけ。ふふふ。,,,R,cry,talk,,47,
56,silhouette_monster,ふん、では、解散とするか。,,,R,normal,talk,,13,
57,sara,・・・はい、では族長の皆様、また次の満月の夜に...。まったく毎回同じ話の堂々巡り。,,,L,confuse,talk,,42,
57,sara,腹が立つわね...もう！...もう...。はぁ、ねぇヴォルカス様、私は、どうしたら良いのでしょうか...。,,,L,confuse,talk,,53,
57,sara,あなただったらどうするのかしら、オレンド...。だめね、なんか、いないっていうだけで感傷的になりすぎるのは...,,,L,confuse,talk,,56,
57,sara,でも、私にだってわからないわよ...。ロクシーは悪い人じゃない、けど...。けど！,,,L,confuse,talk,,41,
,,,,,,,,,,
,,,,,,,,,0,029_road_home
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,028_Inside_Castle
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,017_office_sara
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,,
,,,,,,,,,0,028_Inside_Castle
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,,
,,,,,,,,,0,
,,,,,,,,,0,
