,,,,,,,,,,
ただ君だけを、守りたいと願う　6章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
2,,ーーそして、夜が明け、戦争の火蓋が切って落とされる。,,,,,none,場面の切り替え/BGM切り替え(戦闘準備)/背景切り替え,26,045_naval_battle
4,sara,ヴォルカス様、人族の戦艦が見えました。巨大戦艦２０隻、飛行砲台が５０機も見えています。,,,R,angry,talk,,43,
4,sara,霧の向こうにはさらに倍近い兵器があると思われます。,,,R,angry,talk,,25,
5,volcus,ふむ。ギルディめ。,,,L,normal,talk,※口角下がり顔,9,
6,orend,おぉおぉおぉー！すげーなー！こんなすげーの見たことねー！,,,R,normal,talk,,28,
7,sara,オレンド、出撃する傀儡の戦艦は１５隻でよいですか？,,,L,normal,talk,,25,
8,orend,おおよ！,,,R,normal,talk,,4,
9,sara,・・・大丈夫ですか？そこまでの数をあなた一人で操れるんですか？,,,L,confuse,talk,,31,
10,orend,はっはっはー！さぁなー！でもやらなきゃ負けんだろ？,,,R,normal,talk,,25,
11,sara,・・・そうね。,,,R,confuse,talk,,7,
12,orend,なら、やるしかねーだろー！はっはっはー！,,,R,normal,talk,,20,
13,volcus,オレンドよ。,,,L,normal,talk,※口角下がり顔,6,
14,orend,おおよー？なんだー！ヴォルカス様よー！,,,R,normal,talk,,19,
15,volcus,すまんが、そなたも城に残ってもらえぬか。,,,L,normal,talk,※口角下がり顔,20,
16,orend,へ...？お、おい！ど、どういうこと、ですか？,,,R,confuse,talk,,23,
17,volcus,ふむ。私はもう、そなたにしか、頼めないのだ。,,,L,normal,talk,※口角下がり顔,22,
18,orend,・・・おい！！ヴォルカス様よ！！そりゃねえよ！俺だって戦わせてくれよ！！,,,R,confuse,talk,,36,
19,sara,・・・。,,,R,cry,talk,,4,
20,volcus,・・・。,,,L,normal,talk,※口角下がり顔,4,
21,orend,わかったよ...。わかった。,,,R,normal,talk,,14,
22,volcus,すまない。帰ったら、そなたの願いを好きなだけ聞き届けよう。,,,L,normal,talk,※口角下がり顔,29,
23,orend,願いか...わかった。,,,R,normal,talk,,11,
24,volcus,サラよ。,,,L,smile,talk,,4,
25,sara,なんでしょうか、ヴォルカス様。,,,R,normal,talk,,15,
26,volcus,留守を頼む。そなたの忠義に感謝しておる。,,,L,smile,talk,,20,
27,sara,！！.....とんでもありません。お気をつけて。,,,R,cry,talk,,24,
29,,ーー戦地にて,,,,,none,場面切り替え/背景切り替え,6,03_batle_field
31,volcus,聞くと良い！私に忠義を立てた者共よ。そなたらをこの戦火に落とさせはせぬ。このヴォルカスが全ての魔族の陽光となるのだ！！,,,L,angry,talk,,59,
32,guildy,勇ましいなあヴォルカスよ！,,,R,normal,talk,,13,
33,volcus,ギルディか！,,,L,angry,talk,,6,
34,guildy,久しいのう。何年ぶりだか！,,,R,normal,talk,,13,
35,volcus,ふむ。２度と貴様の面（ツラ）を拝むつもりはなかったのだが！,,,L,angry,talk,,29,
36,guildy,余は嫌われておったか！！,,,R,normal,talk,,12,
37,volcus,当然だ！,,,L,angry,talk,,4,
38,guildy,わざわざ貴様が地に伏せて泣き喚く様を見にきてやったというのに、つれぬ旧友じゃ。,,,R,normal,talk,,39,
39,volcus,ほう。その薄ら笑いを今に剥がしてくれる！,,,L,angry,talk,,20,
40,guildy,がっはっは！心待ちにしているわい！...さて、もう言葉はいらぬ！！！行くぞ叡智なる神の子らよ！！,,,R,normal,talk,,48,
40,guildy,終わらせるのだ！己の手で！その己の足でな！敵は風前の灯火である！！,,,R,normal,talk,,33,
41,volcus,もの共！魔王の気を受け取ると良い！ついてくるのだ！私は、私たちは帰らねばならぬ！！誰一人として、死なせはせぬ！！,,,L,angry,talk,,56,
