,,,,,,,,,,
ただ君だけを、守りたいと願う　4章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
2,,戻ってからは皆で忙しなく、劇場の設営、リハーサルを進めていく。,,,,,talk,場面切り替え/背景切り替え/BGM切り替え(Funky_droll_street),31,037_Acuelli_theate
3,,ーー演劇の準備をバタバタと進める。,,,,,,,34,
4,orend,おーらい！おーらい！あー、ちょっと右だなぁー！おーし、おーし！そこ！おっけー！,,,L,normal,talk,,39,
5,shandy,座長、準備の状況は？,,,R,normal,talk,,10,
6,orend,んー！順調、オールライト！俺にしては、珍しくなぁー！,,,L,normal,talk,,26,
7,shandy,そうですか。あ、ヴェルさん。その荷物はそこにおいてください。,,,R,normal,talk,,30,
8,volcus,うむ。,,,L,smile,talk,,3,
9,shandy,しっかし、ヴェルさん、助かっちゃうわー！,,,R,normal,talk,,20,
10,volcus,ふむ。,,,L,smile,talk,,3,
11,shandy,あなたどれだけ力もちなのよ！どのくらいまで持てるの？,,,R,normal,talk,,26,
12,volcus,ふむ。わからぬ。限（かぎ）りまで物を手にしたことがないゆえ。,,,L,smile,talk,,30,
13,shandy,おぉー！すっごーい！,,,R,normal,talk,,10,
14,era,シャンディー！これでいい？,,,L,normal,talk,,13,
15,shandy,小道具さん、ありがとう。うん、大丈夫！,,,R,normal,talk,,19,
16,era,こ、小道具さん？,,,L,normal,talk,,8,
17,orend,はっはっはー！シャンディは仕事になると人が変わるよなぁー！,,,R,normal,talk,,29,
18,shandy,あら。ごめんね、イーラちゃん。ありがとう。,,,R,normal,talk,,21,
19,orend,あっはっは！(他のメンバーに向かって)よーし、そうそう！照明そんな感じ！いいねー！グッドグッドー！,,,R,normal,talk,,49,
20,shandy,あ！そうだ、動力源の魔鉱石(まこうせき)が４日分もなかったと思うから買い出しに行ってくるわね。,,,R,normal,talk,,47,
21,orend,はいよー！あ、イーラ！そこの縄をこっちにくれるかーい！,,,R,normal,talk,,27,
22,era,はーい！,,,L,normal,talk,,4,
23,orend,さんきゅーなぁ！,,,R,normal,talk,,8,
24,shandy,じゃあ、ヴェルさんもう少し荷物持ち手伝ってもらえるかしら。,,,R,normal,talk,,29,
25,volcus,うむ。かまわん。,,,L,smile,talk,,8,
26,orend,おーい、下誰かいるかー！うーし、縄おろすぜー！,,,R,normal,talk,,23,
27,shandy,あ、ちょっと待ってね...。(他のメンバーに向かって),,,R,normal,talk,,27,
,shandy,誰かー！ここ塗り漏らしあるから美術さんに伝えてもらえるかしらー！よし！さ、行きましょう。,,,R,smile,talk,,44,
29,,またたく間に空の劇場が舞台へと変わっていく。見事なものだ。,,,,,talk,,29,
31,,ーー舞台が出来上がって劇場の楽屋で休憩に入る,,,,,none,場面切り替え/背景切り替え(もっと楽屋っぽい絵がほしいかも),22,024_rest_rooms
32,era,ふえー。疲れたー。,,,L,normal,talk,,9,
33,volcus,ふむ。イーラよ。これを。差し入れとのことだ。,,,R,smile,talk,,22,
34,era,ねぇ、これなーに？,,,L,normal,talk,,9,
35,volcus,ふむ。エピという。(フランスパンの一つ),,,R,smile,talk,,20,
36,era,へぇ〜！,,,L,normal,talk,,4,
37,volcus,麦穂(むぎほ)の形をしたかた焼きのパンだ。手にしやすい形ゆえ、支度の時などに好まれるのだ。,,,R,smile,talk,,45,
38,era,どうやって食べるの？,,,L,normal,talk,,10,
39,volcus,ふむ。固く焼いてあるゆえ、勇ましく噛み付くのだ。,,,R,smile,talk,,24,
,volcus,がぶっ！(豪快に食いちぎって、もぐもぐ、ごっくん)こうである。,,,R,smile,talk,ガブガブするSE,,
40,era,へぇー！やってみるね！あーーがぶっ！,,,L,normal,talk,,18,
41,era,ん、ん、,,,L,normal,talk,,4,
42,era,んーー！(噛みちぎれない),,,L,confuse,talk,,13,
43,volcus,ふむ。,,,R,smile,talk,,3,
44,era,うー...うー！（食いちぎって、もぐもぐもぐもぐもぐごっくん）おいしー！あー..がぶっ！,,,L,normal,talk,,44,
