,,,,,,,,,,
ただ君だけを、守りたいと願う　6章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
2,,ーーオレンドが車になってロクシーを運ぶ,,,,,none,場面切り替え/背景切り替え/BGM切り替え(はじまりの予感_2),19,029_road_home
4,orend,ぶるるーんぶるるーん！はっはっはー！車ってのも悪くねーなー！グッドグッドー！,,,R,normal,talk,車のSE,38,
5,loxy,すごいオレンド！はやーい！！,,,L,smile,talk,,14,
6,orend,だろー！でよ、この先だったっけ？ロクシーのママが住んでる街よ！,,,R,normal,talk,,31,
7,loxy,そう！この道をまっすぐ行くの！あー...久しぶりだなぁ！,,,L,normal,talk,,28,
8,orend,お？嬉しいのか？なぁ。,,,R,normal,talk,,11,
9,loxy,そうよ！ママ、元気かなぁ。,,,L,normal,talk,,13,
10,orend,そっかー！ママも人なのか？,,,R,normal,talk,,13,
11,loxy,そうよ！,,,L,normal,talk,,4,
12,orend,へー！しっかしこの辺はのどかだなぁー！ぶるるーん、ぶるるーんっと！,,,R,normal,talk,,33,
13,loxy,そうねー...昔から全然変わってない。,,,L,normal,talk,,19,
14,orend,魔海溝から遠いところはこんな感じなんだなぁー！はっはっは！俺らのところとそんな変わんねーな！,,,R,normal,talk,,46,
15,loxy,そうよー！だから、なんであんなに争っているのか、不思議よ。,,,L,normal,talk,,29,
16,orend,そっかー！確かにな！はっはっは！,,,R,normal,talk,,16,
17,loxy,あんたって本当に気楽ね。逆に感心しちゃうわ。,,,L,normal,talk,,22,
18,orend,ん？そうか？,,,R,normal,talk,,6,
19,loxy,私のね。私のお父さんは戦争でなくなったわ。,,,L,normal,talk,,21,
20,orend,そうなのか？,,,R,normal,talk,,6,
21,loxy,うん。,,,L,normal,talk,,3,
22,orend,それなのに魔大陸に来て、ヴォルカス様のこと好きになっちまったんだな！,,,R,normal,talk,,34,
23,loxy,た、確かにそうね。,,,L,normal,talk,,9,
24,orend,はっはっはー！やっぱりロクシーは変わり者だなぁ！,,,R,normal,talk,,24,
25,loxy,あ！あんたに言われたくないわよ！,,,L,normal,talk,,16,
26,orend,あー？やっぱ、寂しいのか？,,,R,normal,talk,,13,
27,loxy,どうだろう、うーん..うん。ちょっと寂しいかな。,,,L,normal,talk,,24,
28,orend,そっかー！じゃあ俺がパパになってやろうか？,,,R,normal,talk,,21,
29,loxy,絶対イヤ！,,,L,angry,talk,,5,
30,orend,はっはっは！そーかそーか。ソーリーソーリー。じゃあ、兄ちゃんとかどうだ？,,,R,normal,talk,,36,
31,loxy,え？うーん...それなら、確かに嫌じゃない...かな...？うーん...考えておくわね。,,,L,normal,talk,,44,
32,orend,おぉ！サンキューなぁ！,,,R,normal,talk,,11,
33,loxy,え？うん。どういたしまして...あ！見えた！,,,L,normal,talk,,22,
34,orend,お？あれがロクシーの故郷かー！,,,R,normal,talk,,15,
35,loxy,そう！あぁ...懐かしいなぁ！,,,L,normal,talk,,15,
36,orend,はっはっはー！じゃぁ、ラストスパートだな！飛ばすぜー！ぶるるーん！ぶるーーん！,,,R,normal,talk,,39,
37,loxy,わっちょっと！危ない！オレンドあぶない！,,,L,normal,talk,,20,
38,orend,ぶるるるーん！ぶるるーん！はっはっはー！,,,R,normal,talk,,20,
40,,ーー魔王城でサラとヴェル,,,,,none,場面切り替え/背景切り替え/BGM切り替え(乱世の花),12,028_Inside_Castle
42,volcus,ふむ。ついに来るか。ギルディ。,,,L,smile,talk,,15,
43,sara,そうですね。諜報部門の傀儡師より人族の老師が出陣すると連絡がありました。,,,R,normal,talk,,36,
44,volcus,そうか。また、長き戦いになるな。,,,L,smile,talk,,16,
45,sara,大丈夫ですか？,,,R,normal,talk,,7,
46,volcus,私は大丈夫だ。ただ、奴の術は強固ゆえ、私はギルディの術を抑えること以外できぬだろう。,,,L,smile,talk,,42,
47,sara,金剛檻(こんごうかん)ですか。,,,R,normal,talk,,15,
48,volcus,そうだ。戦場において、やつの周りを金色(こんじき)の檻へ封じる術である。,,,L,smile,talk,,36,
49,sara,全く厄介な術です。,,,R,normal,talk,,9,
50,volcus,ギルディは戦場の先頭に立ち、私を真っ先に封じにかかってくるであろう。,,,L,smile,talk,,34,
50,volcus,封じられては皆が屠（ほふ）られるのをただ眺めてなければならぬ。死よりの苦痛がその檻には待っておる。,,,L,smile,talk,,49,
51,sara,私も戦地へご一緒できれば良いのですが。,,,R,normal,talk,,19,
52,volcus,気にするな。そなたは城を守っておる。これほどなく、感謝しておる。,,,L,smile,talk,,32,
53,sara,ありがたきお言葉です。,,,R,normal,talk,,11,
54,volcus,・・・子供は生まれたのか。,,,L,smile,talk,,13,
55,sara,えぇ。先日生まれまして、今は夫が面倒を見ております。,,,R,normal,talk,,26,
56,volcus,そうか。おめでとう、サラよ。,,,L,smile,talk,,14,
57,sara,ありがとうございます。,,,R,normal,talk,,11,
58,volcus,して、オレンドはいつ頃戻るのか。,,,L,smile,talk,,16,
59,sara,そうですね。予定では、次の侵攻の前には戻るかと。,,,R,normal,talk,,24,
60,volcus,そうか...サラよ。,,,L,smile,talk,,10,
61,sara,なんでしょう。ヴォルカス様。,,,R,normal,talk,,14,
62,volcus,何か、私に伝えるべきことはあるか？,,,L,smile,talk,,17,
63,sara,いえ...、一通り報告はさせていただきました。,,,R,normal,talk,,23,
64,volcus,・・・そうか。わかった..。そなたには、いつも苦労をかけるな。,,,L,smile,talk,,31,
65,sara,とんでもありません。ヴォルカス様こそ、たまにはお休みされてはいかがでしょうか。,,,R,normal,talk,,39,
66,volcus,ふむ。そのようなことも良いかもしれんな。,,,L,smile,talk,,20,
68,,ーー魔族の会議,,,,,none,場面切り替え/背景切り替え/BGM切り替え(ブルーシャドウ),7,017_office_sara
70,silhouette_monster,ちい！人族の老師め...ついに我々を滅ぼすつもりか。,,,R,normal,talk,,26,
71,sara,数回の敗北を経て、人族はかなり強気な攻勢に打って出ようとしているようです。,,,L,normal,talk,,37,
71,sara,当然、その中には人族の老師も含まれます。今回の戦いが正念場となることでしょう。,,,L,normal,talk,,39,
72,silhouette_monster,そうじゃろう。族長のわしらも出ないとやられるかのう...。,,,R,smile,talk,,29,
