,,,,,,,,,,
ただ君だけを、守りたいと願う　5章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
2,,ーー２日目の公演が終わった頃。,,,,,,,15,
3,,ーーシャンディが劇団の事務仕事をしている。,,,,,,,21,
5,volcus,公演の二日目も順調に終えた。快活なロクシー、,,,L,smile,talk,,22,
5,volcus,ひょうきんなオレンド、生真面目なサラ、と。３人のやりとりは中々に愉快である。,,,L,smile,talk,場面切り替え/背景切り替え/BGM切り替え(自然の中でゆったりと),38,024_rest_rooms
7,shandy,ひい、ふう、みい....ねぇ....え、うそ...ほんと？,,,R,confuse,talk,,29,
8,volcus,ふむ。どうした。,,,L,smile,talk,,8,
9,shandy,あ、あらヴェルさん。ねぇ聞いて。１日目より２日目の方がお客さんが倍近くになっているの。,,,R,normal,talk,,43,
10,volcus,！？...ほう。,,,L,smile,talk,,8,
11,shandy,このまま人が増え続けたら、最終日もしかしたら...,,,R,confuse,talk,,25,
12,volcus,満席か。,,,L,smile,talk,,4,
13,shandy,そ、そう！え！？ほんとに！？,,,R,confuse,talk,,14,
14,volcus,ふむ。,,,L,smile,talk,,3,
15,shandy,はっ！...いけないいけない。ありえない...ありえない...。,,,R,confuse,talk,,32,
16,volcus,ほう。なぜありえぬのだ。,,,L,smile,talk,,12,
17,shandy,だって、私たちはちっちゃな演劇旅団よ...アキュエリのこの大劇場を...え、だって...。,,,R,confuse,talk,,45,
19,,ーーヴォルカスの寝室でロクシーがヴォルカスに,,,,,none,"場面切り替え/背景切り替え(ヴェルの寝室があれば)
/BGM切り替え(小さな幸せとエトセトラ的なBGM)",22,028_Inside_Castle
21,loxy,へぇ〜。魔法陣は扉を表していて、入り口側にある魔素を出口側にある対象へ送り込むのね...,,,L,normal,talk,,44,
22,volcus,そうだ。魔法陣によって円周へ置く文字の向きが異なる。この文字の向きが扉の向きをそのまま表現しておる。,,,R,smile,talk,,50,
,volcus,例えば、端的に魔素を行き来させるだけの魔法陣を地に書くとする。,,,R,smile,talk,,31,
,volcus,文字をそのまま記せば、地上から地中へ向かう扉となる。つまり、野草を肥やす陣である。,,,R,smile,talk,,41,
23,loxy,なるほど...。,,,L,normal,talk,,8,
24,volcus,逆に、鏡像文字でこの陣を記す場合...,,,R,smile,talk,,19,
25,loxy,へぇ〜。文字も左回りに書いていくのね。,,,L,normal,talk,,19,
26,volcus,そうだ。魔法陣の記述に慣れていないものは、この逆向き(さかむき)の魔法陣を苦手とすることが多かった。,,,R,smile,talk,,50,
,volcus,そなたは、鏡像文字を異なる文字として記憶したようだが。,,,R,smile,talk,,27,
27,loxy,へぇ〜。確かに逆向きの文字があるなぁーって思ってたのよ。でも、こんな意味があったなんて！へぇー！,,,L,normal,talk,,48,
28,volcus,して、先程の陣を鏡像文字で書いたこれが、蘇生の門である。地より魔素を吸い上げる門である。,,,R,smile,talk,,44,
,volcus,過去の慣わしだが、正しい向きで記した魔法陣を「陣」、鏡像文字で記した魔法陣を「門」と表現する。,,,R,smile,talk,,47,
29,loxy,なんで？,,,L,normal,talk,,4,
30,volcus,ふむ。確かなことはわからんが、戦う者共になぞらえるのだ。,,,R,smile,talk,,28,
,volcus,若き時に兵師団へ入門し、戦へ出陣をする。術者向きの魔法陣は「門」、術者から外へ向かう魔法陣は「陣」である。,,,R,smile,talk,,53,
31,loxy,へぇー！じゃあ、起動するための詠唱は、円周に書いた文字を読んでるのかしら？,,,L,normal,talk,,37,
32,volcus,そうだ。円周へ記した文字、すなわち、文字を並べて意味を表した経文(きょうもん)を読み願うことで、魔法陣は起動する。,,,R,smile,talk,,57,
33,loxy,うーん...じゃあ、真ん中に書く記号にも意味がある？,,,L,normal,talk,,26,
34,volcus,当然だ。,,,R,smile,talk,,4,
35,loxy,どんな意味があるの？,,,L,normal,talk,,10,
36,volcus,ふむ。円周上に等間隔に配置された５点を結んだ対象的な星型をイメージすると良い。,,,R,smile,talk,,39,
,volcus,右回りにそれぞれ海から始まり、陸ができ、そこに風が吹き、植物が芽吹き、火が立ち、また水により火が消える。,,,R,smile,talk,,52,
,volcus,という意味を右回りに星形の頂点がもっておる。,,,R,smile,talk,,22,
37,loxy,う...ふぁあぁ〜...難しい...ややこしくなってきたわね...。,,,L,normal,talk,,34,
38,volcus,図形をかたどる５点の位置により、表現するものが変わるのだ。,,,R,smile,talk,,29,
38,volcus,海の位置にある頂上を少し右にずらすと、より陸に近い属性を持つこととなる。,,,R,smile,talk,,36,
38,volcus,中心に据える形状と、円周へ記述した経文の関係より魔法陣を通過する魔素に与える反応が変わるのだ。,,,R,smile,talk,,47,
,volcus,また、門の場合、経文と同様に図形も逆向きに配置せねばならぬ。,,,R,smile,talk,,30,
39,loxy,う...うん...,,,L,normal,talk,,9,
40,volcus,して、魔法陣には必ず経文及び図形の原点を設けねばならぬ。それが、「朔(ついたち)」である。,,,R,smile,talk,,45,
40,volcus,そなたの門にはこれが抜けていた。朔は魔法陣がどこを始点としておるかを意味し、経文の開始と図形の海の位置を表現しておる。,,,R,smile,talk,,59,
41,loxy,うぅ...うぅう〜...すぅー,,,L,normal,talk,,15,
42,volcus,また、朔には時刻を意味する役割もある。魔法陣の中心より円周へ向かい１本の線を引く。演習に到達するまで伸ばせば、日の刻。,,,R,smile,talk,,59,
42,volcus,その中頃で止めれば、夕の刻。短く記述すれば月の刻である。して何も記述しない場合、魔法陣はその解釈を己で行うこととなる。,,,R,smile,talk,,59,
42,volcus,それを新月の魔法陣という。光の強さは通過できる魔素の量を意味することが多い。,,,R,smile,talk,,38,
42,volcus,それと、新月の魔法陣というのは光の一切ない夜、何が起こらぬかわからぬ、という意味だそうだ。,,,R,smile,talk,,45,
42,volcus,そなたの門はまさにこれであった。,,,R,smile,talk,,16,
42,volcus,魔法陣とは多少崩れても働くものだが、朔を書き加えた結果、そなたが記述した門の解釈が変わり、,,,R,smile,talk,,45,
,volcus,経文の意味と中心の図形の調和が乱れ、魔法陣としての働きを失ったのだ。,,,R,smile,talk,,34,
43,,うぅ...ふぁ...すぅー...,,,L,,talk,背景切り替え,16,044_sleeping_face
44,,ふむ...。話すぎたか。,,,R,,talk,,12,
45,,すぅー...それで...わたし...すぅー...。,,,L,,talk,,25,
46,,ふむ...。私の寝台で寝ると良い。私は寝ずとも良い身なのでな。,,,R,,talk,,31,
,,ロクシーを抱っこして移動する)軽いな。うむ...（ロクシーを布団に下ろして、布団をかける）ではロクシー、良き夢を。,,,L,,talk,,57,
47,,ヴォルカス...,,,R,,talk,,8,
2,,ーー演劇最終日直前,,,,,,,9,
4,,３日目の公演も終えた。ロクシーは毎日のように部屋を訪れ、話を聞き、そのまま眠るようになった。,,,,,talk,,46,
4,,この頃から、私はロクシーに特別な思いを抱くようになったのかもしれん。,,,,,talk,,34,
5,,,,,,,,,0,
6,orend,おいおいおい！すんげーなぁ！,,,R,normal,talk,場面切り替え/背景切り替え/BGM切り替え(自然の中でゆったりと),14,024_rest_rooms
7,shandy,えぇ。こんなに伸びるなんて...,,,R,normal,talk,,16,
8,volcus,ふむ。,,,L,smile,talk,,3,
9,era,私も！今日外を歩いてたら、演劇の話をしてる人をいっぱい見かけたよ！,,,L,normal,talk,,33,
