,,,,,,,,,,
ただ君だけを、守りたいと願う　１章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,Type,補足コメント,,背景画像名
1,,,,,,,none,場面の転換,0,
2,silhouette_woman,姫様！おやめください！,,,L,angry,talk,,11,
3,silhouette_woman,離して！魔王様が亡くなったのに、この私が生きていることなんて許されない！,,,R,angry,talk,,36,
4,silhouette_woman,かようなことはありませぬ！姫様は人の身です！人の世が訪れれば、姫様を蔑む魔はすでにおりませぬ！,,,L,angry,talk,,47,
5,silhouette_woman,人でありながら魔の王を愛したこの身を、死の贖罪なしに人々が許しましょうか！,,,R,angry,talk,,37,
6,silhouette_woman,なりません！お気を確かに、たとえ人が許さずとも、私が一生かけてお守りいたします。,,,L,angry,talk,,40,
7,silhouette_woman,なれば！私をここで見放し、私に縛らるのではなく！そなたの自由を！いずれ戦火もおさまるでしょう。,,,R,angry,talk,,47,
8,silhouette_woman,そして魔王なき平和な世を。,,,R,angry,talk,,13,
9,silhouette_woman,姫様！,,,L,angry,talk,,3,
10,silhouette_woman,（しくしくと泣き続けて）,,,R,angry,talk,,12,
11,silhouette_woman,そうまでお気を病まれてはお腹の子にさわります。どうか、私がおりますから、どうか...,,,L,angry,talk,,42,
12,orend,そうして魔王なきあと、平和となった世を従者と共に見て歩いているそうな。彼女たちに敵意はない。,,,L,angry,talk,,46,
13,orend,今こそ剣を納め、我々は次の時代へと踏み出さねばならぬ。,,,L,angry,talk,,27,
14,orend,皆様もいつか魔王の子と出会ったとして、争いの火をくべることなきよう。,,,L,angry,talk,,34,
15,orend,魔王の子もまた、我々と同じ平和の世に生まれた命なのだから！,,,L,angry,talk,,29,
16,,,,,,,none,場面の転換/背景の切り替え,0,007_theater_company
17,volcus,・・・ふむ...。,,,L,smile,talk,,9,
18,orend,はーい！おかえりなさーい！ありがとー！サンキューなー！え？そんな！ちっちゃな劇団ですよ。あっはっは！,,,R,smile,talk,,50,
19,orend,あ！お次の方もおかえりー！サンキューなー！え？握手！照れちゃうなあ！,,,R,smile,talk,,34,
20,volcus,ふむ。オレンドか...。,,,L,smile,talk,,12,
21,orend,おやー？ヴェールー！おかえりなさい！サンキューなー！,,,R,smile,talk,,26,
22,volcus,なんだその、おかえりなさい、というのは。,,,L,smile,talk,,20,
23,orend,演劇の世界からおかえりなさい！って意味さ！・・・ちょっと芝居がかりすぎかね！,,,R,normal,talk,,38,
24,volcus,ふむ。そのようなことはないと思うが,,,L,smile,talk,,17,
25,orend,おぉ、おぉ。サンキューな。・・・おや？ヴェル！泣いてるのかい！そんなに感動しちゃったのかい！？,,,R,smile,talk,,47,
26,volcus,・・・私が？泣く？...,,,L,cry,talk,,12,
27,orend,お？生まれて初めて泣いたみたいなリアクションだな！,,,R,smile,talk,,25,
28,volcus,いや...私の涙は尽きたかと思っていたが...,,,L,cry,talk,,23,
29,orend,はっはっは！なんだあ！変なヴェルだな！いやー、なんかそうまで感動してもらえるとは、なんか、俺まで...,,,R,cry,talk,,51,
30,volcus,茶化すな。くだらん芝居はやめろ。,,,L,confuse,talk,,16,
31,orend,はっはっは！バレた？,,,R,smile,talk,,10,
32,volcus,・・・オレンド、私はお前を気に入った。褒美として一つだけ、感想を述べてやろう,,,L,smile,talk,,38,
33,orend,およ！変わり者のヴェルくんから感想なんて！ぎぶぎぶ！聞いちゃうぜえ。,,,R,smile,talk,,34,
34,volcus,死んだのは魔王ではなく、姫の方だ。,,,L,normal,talk,※ノーマルのイラストの口角が下がったヴァージョンgあるならそちらがいいと思います。以下同様の場面を「口角下がり顔」とここに書きます。,17,
35,orend,・・・へぇ。,,,R,normal,talk,,6,
36,volcus,以上だ。,,,L,smile,talk,,4,
37,orend,・・・なあ！ヴェルは半魔だろ？,,,R,normal,talk,,15,
38,volcus,・・・そうだ。,,,L,smile,talk,※ノーマルにしていますが、少し驚いたような表情があればそちらがいいと思います。以後そのようないい場面には「驚き顔」と書きます。,7,
39,orend,俺もそうなんだ。,,,R,normal,talk,,8,
40,volcus,・・・なぜわかった。全て魔力は封じているはずだが。,,,L,normal,talk,※口角下がり顔,25,
41,orend,いや！俺魔力全くないから、正直人間と魔族の区別は見た目くらいでしかわかんねぇ...！けど,,,R,normal,talk,,44,
42,volcus,・・・けど？,,,L,normal,talk,※口角下がり顔,6,
43,orend,なんか、そんな気がしたんだ！はっはっは！運命の出会いってやつかもなー！,,,R,smile,talk,,35,
44,volcus,・・・ふむ、くだらん。私はもういく。後ろが詰まっておるからな。,,,L,smile,talk,,31,
45,orend,おぉ！わりい、んじゃ！またどこかで見かけたら、また劇を見に来てくれよ！俺達も旅芸人だからさ、どこかでな！,,,R,smile,talk,,52,
46,volcus,・・・その時は、新作を楽しみしている。,,,L,smile,talk,,19,
47,orend,おおよ！そんじゃー、サンキューなー！,,,R,smile,talk,,18,
48,volcus,私は歩き始め、その場からはなれた。後ろから奴のこぎみ良い声が聞こえてくる。なんとも変わった男だ。,,,L,smile,talk,,48,
49,orend,おかえりなさーい！サンキューなー！え？ハグ？それはダメだぜマダム！有料なのさぁ！,,,R,normal,talk,,40,
50,orend,でも今日は気分がいいからタダにしちゃうぜぇ！はっはっは！お次の方もおかえりなさーい！サンキューなー！,,,R,normal,talk,,50,
51,,,,,,,none,場面転換/背景切り替え,0,011_evening_town
52,volcus,・・・ロクシー。物語のように、私ではなく、もし君がこの道を歩いていたら、どう思うだろうか。,,,L,normal,talk,※口角下がり顔,45,
53,volcus,あの時、君の願いを聞いて戦場に連れていれば、まだ君は生きて私の横にいたのだろうか。,,,L,normal,talk,※口角下がり顔,41,
54,volcus,私がおらぬ魔王城で、君は何を考えて、何を願っていたのだろうか。,,,L,normal,talk,※口角下がり顔,31,
55,eleth,イーラや、せっかくのお祭りなんだから、もう少しみんなと遊んできたらどうさね。,,,R,normal,talk,出来れば声だけ,38,
56,era,いや！みんな私と一緒にいたって、つまんないもん！,,,L,angry,talk,出来れば声だけ,24,
57,eleth,あらあら。そう怒らんと。みんなだって悪気があったわけじゃないんだから。,,,R,confuse,talk,出来れば声だけ,35,
58,volcus,あの日から私の心は死に、付き従う仲間の声に奮い立つこともできず。ただ我が軍が負けていく様を他人事のように眺めておった。,,,R,normal,talk,※口角下がり顔,59,
59,volcus,私までも亡者のようになり、ただ君の亡骸を眺め、気づけばあっという間に骨だけになった。,,,R,normal,talk,※口角下がり顔,42,
60,volcus,その間に世の中は様変わりし、今やどこを見ても人しかおらぬ。,,,R,normal,talk,※口角下がり顔,29,
61,era,じゃあばあばはどう思うの！？私のこの服！,,,L,smile,talk,,20,
62,eleth,ばあばは可愛いと思う。けどもね。,,,R,normal,talk,,16,
63,era,じゃあいいの！ばあばが可愛いって言ってくれるなら！,,,L,smile,talk,,25,
64,era,真っ黒でなんかしみっぽーい、なんて！みんなの方がずっと可愛くないもん！,,,L,smile,talk,,35,
65,eleth,あ、これ。,,,R,normal,talk,,5,
66,era,いいんだもーん！みんなとなんか遊ばなー,,,L,smile,talk,,19,
67,era,わっ！,,,L,confuse,talk,※驚き顔,3,
68,volcus,ん？,,,R,smile,talk,,2,
69,eleth,おぉ、すみません。前も見ずに,,,L,normal,talk,※驚き顔,14,
70,era,いたた...,,,L,confuse,talk,,6,
71,volcus,気にするな。子供は元気な方がよい。すまぬ、避けることができなかった。,,,R,smile,talk,,34,
72,era,？？・・・こ、こちらこそごめんなさい。,,,L,normal,talk,,19,
73,volcus,素直で良い子だ。怪我がなさそうでよかった。,,,R,smile,talk,,21,
74,volcus,では、これで。,,,R,smile,talk,,7,
75,,ぼんやりとまた劇のことを考えながら歩くヴェル。背中から二人の声が聞こえる,,,,,,,36,
76,era,・・・変なおじさん。,,,L,angry,talk,,10,
77,eleth,これ、イーラが前を見ないで飛び出したからでしょう。,,,R,normal,talk,,25,
78,era,てへへ、優しい人でよかったね。,,,L,smile,talk,,15,
79,,,,,,,none,場面転換,0,
80,volcus,まったく、街の者は相変わらず賑やかだな。いつまで呑み騒ぐつもりだ。,,,L,smile,talk,,33,
81,volcus,だいぶ中心から離れていると思うが、どこもかしこもお祭り騒ぎだな。,,,L,smile,talk,,32,
82,volcus,ん...？魔族の血の匂い...と、付近に人間の気を感じる...？何事かはわからぬが、放ってはおけぬ。,,,L,normal,talk,※口角下がり顔,50,
83,silhouette_man,貴様、脱走した魔族奴隷がどのような目に遭うのか、わかっているのか。,,,R,unique,talk,,33,
84,volcus,街の貴族兵と、奴隷か...。,,,L,normal,talk,※口角下がり顔,14,
85,silhouette_man,・・・死んだか？まぁいい。主人より生き死には問わぬと言われておる。そのうち野垂れ死ぬだろう。,,,R,unique,talk,,46,
86,silhouette_man,人目のつかない路地にでも放っておけ！主人には死んだと報告しておく！,,,R,unique,talk,※口角下がり顔,33,
87,volcus,・・・,,,L,smile,talk,,3,
88,silhouette_man,さて、帰るぞ！見回りの続きだ！,,,R,unique,talk,,15,
