,,,,,,,,,,
ただ君だけを、守りたいと願う　5章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
2,,ーー回想終わって城の執務室,,,,,none,場面切り替え/背景切り替え,13,017_office_sara
4,sara,なるほどね。それでオレンドがへたばってたわけね。,,,R,confuse,talk,,24,
5,loxy,え...えへへ...。サラからも謝っておいて！お願い！,,,L,normal,talk,,27,
6,sara,はいはい。まぁ丁度いいわよ。オレンドも多少は懲りたでしょう。もちろん、あなたも反省しなさいよ。,,,R,confuse,talk,,47,
7,loxy,う...ご、ごめんなさい。,,,L,normal,talk,,13,
8,sara,で、１つだけこっそり持ち帰ってきたのが、これと。,,,R,normal,talk,,24,
9,loxy,そう！なんか１番貴重っぽかったから！,,,L,normal,talk,,18,
10,sara,ふーん。これは魔鉱石(まこうせき)ね。,,,R,normal,talk,,19,
11,loxy,えーーー！遺物じゃないの！？こんなに貫禄あるのに！？,,,L,normal,talk,,26,
12,sara,かんろく....？,,,R,normal,talk,,9,
13,loxy,なんか！キラキラ光ってるじゃない！,,,L,normal,talk,,17,
14,sara,この魔鉱石はとても純度が高いの。魔素が漏れ出ている。,,,R,normal,talk,,26,
14,sara,きっとそれが、人族には光っているようにみえるのね。その地底湖に魔素が溜まっているんだと思うわ。,,,R,normal,talk,,47,
15,loxy,へぇー...。ふーん。なんだ、遺物じゃないのね。(ぶつぶつ言いながら、部屋の出口へ歩いていく),,,L,angry,talk,,47,
15,loxy,あんな遠くの遺跡まで行ったのに、せっかく持って帰ってきたものがただの魔鉱石だなんてぇ。,,,L,angry,talk,,43,
15,loxy,なんで私ってこんなにあんぽんたんなのかしら..。あーもばかばか！次は絶対すんごいやつ見つけてやるんだから！,,,L,angry,talk,,53,
16,sara,でもこんなに純度が高い魔鉱石は大砲や何かの動力に使えるわ。,,,R,normal,talk,,29,
16,sara,ありがとうロクシーさん、ちなみに、その地底湖はどこに...ってちょっと！話聞いてますか！？,,,R,normal,talk,,45,
17,loxy,は、はい！？,,,L,normal,talk,,6,
18,sara,はぁ...。その地底湖はどこにあったのかしら？,,,R,normal,talk,,23,
19,loxy,へ？あー...確か、お城から北西にある森を抜けた先よ！,,,L,normal,talk,,27,
20,sara,そう。ありがとう。,,,R,normal,talk,,9,
21,loxy,へ...？うん！どーいたしましてー！,,,L,smile,talk,,18,
23,,ーー現在に戻り、演劇公園の呼び込みをするオレンド。その横に突っ立つ、ヴェル。,,,,,none,場面切り替え/背景切り替え/BGM切り替え(自然の中でゆったりと),38,034_town
25,,演劇当日を迎え、ついに開演の直前。私はオレンドと共に呼び込みにいくようシャンディに頼まれたのである。,,,,,talk,,50,
26,orend,お、どーも。あ、こっちもまいど！サンキューなー！おぉー！マダムーー！去年ぶりだなぁー！,,,R,normal,talk,,43,
26,orend,え？知らない？はっはっはー！そのうち思い出すさー！それよりどうさー？演劇！,,,R,normal,talk,,37,
27,volcus,ふむ。,,,L,smile,talk,,3,
28,orend,はーい！まいどー！いってらっしゃーい！え？演目かーい？はっはっはー！,,,R,smile,talk,,34,
,orend,魔王が愛した女性とその娘が誕生するまでの、俺たち人間が知ることのない物語さ！特別な知り合いから仕入れた,,,R,smile,talk,,51,
,orend,じ・つ・わなのさー！どうだーい？ちょっと知りたくなるだろー！はーい！１名様ごあんなーい！サンキューなぁ！,,,R,smile,talk,,52,
29,volcus,ほう。,,,L,smile,talk,,3,
30,orend,はいはい！お二人さんねー！わぁ！カップルかーい！いいねー！グッドグッドー！,,,R,normal,talk,,37,
,orend,勇気出してそのガールを誘ったのかーい！はっはっはー！頑張った君にはこれをあげよー！,,,R,normal,talk,,41,
,orend,あっちのお姉さんに言ったら、二人分の飲み物をもらえる、サービス券さ！おう！どういたしましてー！いってらっしゃーい！,,,R,normal,talk,,57,
31,volcus,見事だ。,,,L,smile,talk,,4,
32,orend,おおー！そこの美しいマダムの皆さーん！どうですかー、え？彼ですか？ヴェルはキャストの一人さ！,,,R,normal,talk,,46,
,orend,貫禄があって大物って感じだろー！あー！いいですよ。好きに触っても。ほら...ほっぺをもってこーんなことも（上にあげる）,,,R,normal,talk,,59,
33,volcus,うむ。,,,L,confuse,talk,,3,
34,orend,こーんなことも！（下に下げる）,,,R,normal,talk,,15,
35,volcus,う、うむ...。,,,L,confuse,talk,,8,
36,orend,これもおっけーさあー！（ひっぱる）,,,R,normal,talk,,17,
37,volcus,う、うむ。,,,L,confuse,talk,,5,
38,orend,そこの綺麗なマダムの皆さんで演劇見ていってくれるなら,,,R,normal,talk,,26,
38,orend,しばらく好きーに使って良いですよー....はっはっはー！おー！まいど！サンキューなぁー！,,,R,normal,talk,,44,
39,volcus,（マダムに群がられて）オ、オレンドよ。,,,L,confuse,talk,,19,
40,orend,ヴェルゥゥゥゥゥ！なんだぁい？まさかまさか文句なんてないよねー！？あっはっはー！,,,R,smile,talk,,40,
41,volcus,（マダムに群がられて）み、見事だ。,,,L,confuse,talk,,17,
