,,,,,,,,,,
ただ君だけを、守りたいと願う　2章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
2,,ーーヴェルは恐る恐るロクシーの部屋を訪れる,,,,,none,足音のSE/場面切り替え/背景切り替え,21,021_loxy_room
3,volcus,ふむ。埃の匂いしかせんな。くだらぬ期待かもしれんが、少々の匂いなどを感じられると思ったが全くないではないか...,,,L,normal,talk,,56,
4,volcus,十年というのは、それほどにも長いのか...。,,,L,normal,talk,,22,
5,volcus,万を数える時を生きてきた私が、なぜたった十年を、たかだか十年ばかりをここまで長いと感じるのだ...。ふむ。,,,L,normal,talk,,53,
6,,ーーヴェルはロクシーのコレクションの一つを手に取る。,,,,,,,26,
7,volcus,これがロクシーの...君の宝物..か。ふっ..全く..ガラクタだらけではないか。,,,L,cry,talk,,40,
8,volcus,どれもこれも確かに古代の物だが、価値はいかほどもない..。,,,L,cry,talk,,29,
9,volcus,ロクシー、君はこの程度の目利きしかできんのか。まったく...まったく...！ロクシー...ロクシー！！,,,L,cry,talk,,51,
10,,ーーヴェルはすすり泣きながら叫ぶ,,,,,,,16,
11,volcus,なぜ私は君を守れなかったのだ！いつだって...なぜ私は...守るとは、力とは、なんなのだ...。,,,L,cry,talk,,48,
12,volcus,この部屋にある君の宝物にも及ばぬクズである！なぜこんなにも私は惨めなのだ！なぜ！！,,,L,cry,talk,,,
13,,ーーイーラが気づいて起きてくる,,,,,,,15,
14,era,んー...あれ...ヴェル,,,R,normal,talk,,13,
15,volcus,イーラか...,,,L,normal,talk,,7,
16,era,・・？・・・泣いてるの？,,,R,normal,talk,,12,
17,volcus,ふむ...起こしてしまったか。すまぬ。,,,L,normal,talk,,19,
18,era,んーん。大丈夫。ヴェルどうしたの？,,,R,normal,talk,,17,
19,volcus,昔を...思い出したのだ。,,,L,normal,talk,,13,
20,era,そうなの?負けたの？,,,R,normal,talk,,10,
21,volcus,そうでは、いや、そうだ。,,,L,normal,talk,,12,
22,era,ふーん。大丈夫よ。ヴェルは強いから。(そっと膝をつくヴェルの頭を抱く),,,R,normal,talk,,34,
23,volcus,・・・そんなことはない。,,,L,normal,talk,,12,
24,era,大丈夫。次は勝てるよ。,,,R,normal,talk,,11,
26,volcus,・・・イーラよ、何度も間違えてきたこの私に...また次などあるのだろうか。,,,L,normal,talk,※口角下がり顔,37,
27,era,うん、あるよ。,,,R,normal,talk,,7,
28,volcus,・・・そうか。,,,L,normal,talk,※口角下がり顔,7,
29,era,うん。誰にだって、いつもあるんだよ。,,,R,normal,talk,,18,
30,volcus,そ、うか...すまない、すまない、イーラよ...すまない...そなたの大切な人を...私は守れなかった！！,,,L,cry,talk,,53,
31,era,大切な人？,,,R,normal,talk,,5,
32,volcus,そなたの...,,,L,cry,talk,,7,
33,era,ばあばは今日助けてもらったよ。どうしたの...?。,,,R,normal,talk,,25,
34,volcus,そうか...母の記憶もないのか...！すまない！,,,L,cry,talk,,24,
35,era,ううん、大丈夫よ。,,,R,normal,talk,,9,
36,volcus,すまない...！！,,,L,cry,talk,,9,
37,era,いいよ。,,,R,normal,talk,,4,
38,volcus,ああ...あああああああ..！なぜだなぜだなぜだ！！うおおおおおぉおおぉおおお！！！,,,L,cry,talk,,42,
39,era,・・・ヴェル、好きよ。,,,R,normal,talk,,11,
41,,ーー少し時は流れて、旅団の大型魔導移送車の一室にいるヴェルとイーラ,,,,,none,場面の切り替え/背景の切り替え/BGMの切り替え(自然の中でゆったりと),33,023_brigade_car
43,,その日、私はイーラに抱かれて泣き続けた。なんとも恥ずかしいことだ。,,,,,talk,,33,
44,,翌日、エリスの家を発った私はオレンドの旅団と旅路を共にすることとした。,,,,,talk,,35,
45,era,わあー！すごーい！動いてるよ！ねえ！,,,R,smile,talk,,18,
46,volcus,そうだな。,,,L,smile,talk,,5,
47,era,これが車っていうの！？,,,R,normal,talk,,11,
48,volcus,そうだ。,,,L,smile,talk,,4,
49,era,うん！わーあ！ねぇねぇ、あれ何？,,,R,normal,talk,,16,
50,volcus,街から出るのも初めてであったか。あれは...葡萄畑だ。,,,L,smile,talk,,27,
51,era,へえー！あれは葡萄なのね！ねえ、あれは！？,,,R,normal,talk,,21,
52,volcus,ふむ。あれも葡萄畑だ。,,,L,smile,talk,,11,
53,era,えー！でも緑だよ！一緒なの！？,,,R,normal,talk,,15,
54,volcus,色が違うものもある。,,,L,smile,talk,,10,
55,era,へえー、葡萄でも違うものがあるんだ...。じゃああれは？あ、あれも！あれ！あっちは本で読んだことが...,,,R,normal,talk,,52,
56,volcus,ゆっくり教えるからな。焦るらずともよい。,,,L,smile,talk,,20,
57,era,あ、てへへ...。,,,R,normal,talk,,9,
58,volcus,ふむ。,,,L,smile,talk,,3,
59,,ーーそこにオレンドの足音が聞こえる,,,,,none,足音のSE,17,
60,orend,ふんふんふーん。さてさて〜？俺のふれええんどはどこのお部屋を借りてるのかな？,,,R,normal,talk,,38,
61,volcus,騒がしいのがきたか...。,,,L,confuse,talk,,13,
62,orend,お？およよよ？おんやあヴェルゥゥ！...とちびっこいの！,,,R,smile,talk,,28,
63,era,ち、ちびっこいの！？,,,L,normal,talk,※驚き顔,10,
64,orend,こーんなにちっちゃな女の子連れて！まさかあ！そう言う趣味なのおお！？,,,R,normal,talk,,34,
65,volcus,・・・,,,L,confuse,talk,,3,
66,orend,っはっはっは！！そう怒るなって！！うそうそ、なんか事情があるんだよねえ！,,,R,smile,talk,,36,
67,era,ね、ねえ、ヴェル、この人は誰なの？,,,L,confuse,talk,,17,
68,orend,おぉ、レディー！私はこの演劇旅団の役者さぁ！アクターー！アクター！,,,R,normal,talk,,33,
69,orend,まぁ脚本もやっていてー、そしてぇー...実は座長ですよー！リーダーなんです！お嬢ちゃん。,,,R,normal,talk,,,
70,era,へ、へぇ。(気圧される),,,L,confuse,talk,,12,
71,volcus,やめろ、怯えておるだろう。,,,L,smile,talk,,13,
72,orend,はっはっは！すまんすーまーん！ソーリーソーリー。俺の名前は、オレンド。オレンドさ。,,,R,normal,talk,,41,
73,era,へえ〜、オレンドね１,,,L,normal,talk,,10,
