,,,,,,,,,,
ただ君だけを、守りたいと願う　2章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
1,,ーーイーラがヴェルに聞く,,,,,none,背景切り替え,12,005_era's_ house
2,era,ねえ、オレンドのプレゼントは何だったの？,,,L,normal,talk,※疑問顔,20,
4,volcus,ふむ。小さな傀儡でできた人形模型だった。魔王城に、ヴォルカス、ロクシー、オレンドが楽しそうに踊っている。,,,R,smile,talk,,52,
5,volcus,中心には手に赤子を抱いたサラと、その旦那が幸せそうな表情で置かれていたそうだ。,,,R,smile,talk,,,
6,era,わあー。とっても素敵ね。,,,L,smile,talk,,12,
8,,ーー思わぬオレンドのプレゼントにサラは感動する,,,,,none,背景切り替え,23,018_orend_present
9,sara,あ、あなたね...,,,R,cry,talk,,9,
10,orend,最近サラがなーにか抱えてると思ってな。元気なさそうじゃん。,,,L,smile,talk,,29,
11,orend,少しでもよお！元気に！ハッピーにいられる方がいいなぁ！って思ってねえ！,,,L,smile,talk,,,
12,sara,あのね...こんなものね、今もらってもね、嬉しくなんか...,,,R,cry,talk,,30,
13,orend,おやあ？,,,L,normal,talk,,4,
14,sara,嬉しくなんか...嬉しくなんか...うわあああ！ありがとおおお！,,,R,cry,talk,,32,
15,orend,はっはっはー！喜んでくれて何より何より、一生懸命作ったんだからなぁ！,,,L,smile,talk,,34,
16,sara,私だって、私だって、こんな戦争ばっかり。幸せに暮らしたいのに、うわああああああ,,,R,cry,talk,,39,
17,orend,あ..お...サラ...。,,,L,normal,talk,,13,
18,sara,なんであんたなんかに泣かされなきゃならないのよ！うわああああああ,,,R,cry,talk,,32,
19,orend,お...おいおい...,,,L,normal,talk,,11,
21,,ーー少しの間泣いた後。サラとオレンドは穏やかな雰囲気で話す。,,,,,none,,30,
22,sara,ぐすっ..,,,R,cry,talk,,5,
23,orend,落ち着いたかい？,,,L,normal,talk,,8,
24,sara,...見苦しいところを見せたわね。,,,R,cry,talk,,17,
25,orend,ん？ははは、かまわないさあ。,,,L,smile,talk,,14,
26,sara,・・・はぁ...戦争終わらないかなぁ。,,,R,cry,talk,,19,
27,orend,・・・そろそろ終わるさ...。,,,L,normal,talk,,15,
28,sara,・・・根拠は？,,,R,normal,talk,,7,
29,orend,んー、なんとなく。でも俺の勘ってよく当たるのよ。,,,L,normal,talk,,24,
30,sara,...くだらない。,,,R,confuse,talk,,9,
31,orend,おーい！そんなこと言うなよぉ！今日だってサラが結婚したことを勘で当ててるんだからな！,,,L,normal,talk,,42,
32,sara,嘘。ヴォルカス様に聞いたでしょ。,,,R,confuse,talk,,16,
33,orend,ありゃ？サラは何でもお見通しだなぁ！はっはっは！,,,L,smile,talk,,24,
34,sara,当たり前でしょ。この城は誰の呪術で覆われてると思ってるの。,,,R,normal,talk,,29,
35,orend,確かになあ！...でな！俺もう1個考えてきたのよ！,,,L,normal,talk,,25,
36,sara,・・・何よ。今度はもっとくだらないやつ？,,,R,normal,talk,,20,
37,orend,ふっふっふー！サラの仕事は今日は終わりー！実は俺サラの仕事を傀儡を通して見て覚えたんだ！,,,L,normal,talk,,44,
38,orend,だから今日だけ！今日だけ代わりに仕事するからさ。帰ってゆっくりしたらいいさ！休むの大事！,,,L,smile,talk,,,
39,,ーーオレンドがサラの荷物をもって、サラを立ち上がらせて、執務室のドアの方に押す。,,,,,none,,40,
40,sara,ちょ、ちょっと！,,,R,normal,talk,,8,
41,orend,いいからいいから！,,,L,normal,talk,,9,
42,sara,でも私だけ帰るなんて...ねえちょっと！,,,R,normal,talk,,20,
43,orend,ドンウォーリー！ドンウォーリー！心配しない、心配しない。,,,L,normal,talk,,28,
44,sara,わ、わかった、帰る、帰るわよ。,,,R,normal,talk,,15,
45,orend,うっし！なーら、あとは俺がやっておこー！,,,L,smile,talk,,20,
