,,,,,,,,,,
ただ君だけを、守りたいと願う　2章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
1,,ーー海の向こうに見える人族の戦艦を眺める魔物の軍隊。先頭にはヴォルカス、オレンドがいる。そこにサラが訪れる。,,,,,none,場面の転換/背景切り替え/BGM変更(The_BEAST),54,015_sea_castle
2,orend,おいおい、ヴォルカス様よぉ。海の向こうに見えるあれは何だい！わっつ！？あーんなにでっかな魔導戦艦が５隻も見えるなぁ。,,,L,smile,talk,,58,
3,volcus,此度の襲撃も長くなりそうだな。,,,R,smile,talk,,15,
4,orend,ブルーだなああ。あー、こんな日の俺はまっさおさおだなぁ！,,,L,normal,talk,,28,
5,sara,まっかっかの間違いでしょ？オレンド。出撃する傀儡は３隻でよかったですか？,,,R,normal,talk,,36,
6,orend,おぉ！グッドモーニングサラァ！今日の君は昨日より一段と輝いてるねえ！,,,L,normal,talk,,34,
7,sara,それはどうも。あなたは昨日から何も変わってないわね。,,,R,normal,talk,,26,
8,orend,はっはっは！いつでもマックスな男だからねえ。そりゃそうさあ！,,,L,normal,talk,,30,
9,volcus,してオレンドよ、今日はどの程度屠れるだろうか。,,,R,smile,talk,,23,
10,orend,はっはっは！血の気の多いヴォルカス様だなあ！,,,L,normal,talk,,22,
11,sara,全く男どもはこれだからいやよ。戦の目的は殺しではないでしょう...。それで、今回は敵軍の老師はおりますか。,,,R,normal,talk,,53,
12,volcus,いや、ギルディの気配はない。,,,R,smile,talk,,14,
13,orend,ならさっさと暴れ倒しちゃおうぜえ！オレンドうーずうずしてきちゃうう。,,,L,normal,talk,,34,
14,volcus,ふむ。サラよ。我が軍の状況はどうだ。,,,R,smile,talk,,18,
15,sara,敵の巨大戦艦に苦戦しているようです。我が軍の艦が一隻落ちました。,,,R,normal,talk,,32,
16,volcus,ふむ。では行くかオレンドよ。,,,R,smile,talk,,14,
17,orend,おおよ！,,,L,normal,talk,,4,
18,sara,では、城の雑事はこちらで片付けておきますね。,,,R,normal,talk,,22,
19,volcus,サラよ。留守を頼む。,,,R,smile,talk,,10,
20,sara,お気をつけて。,,,R,normal,talk,,7,
21,,ーーオレンドが３隻の戦艦に取り憑き海を行く。,,,,,none,背景切り替え,22,016_three_ship
22,orend,へいへーい、オレンド戦艦モードだぜぇ！ほうほー！乗り心地はどうですかねえ、魔王様。,,,L,smile,talk,,41,
23,volcus,至極快適である。,,,R,smile,talk,,8,
24,orend,はっはっはあ！戦艦冥利に尽きるという！モチベーションがぐーんっとあがっちゃうねえ！！・・・さてさて？騒ぐかねぇ！,,,L,smile,talk,,56,
