,,,,,,,,,,
ただ君だけを、守りたいと願う　3章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,#REF!,背景画像名
2,,ーー夜、列車の中でヴェルとオレンドが会話している。イーラは寝ている。,,,,,none,場面切り替え/背景切り替え/BGM切り替え(自然の中でゆったりと),29,024_rest_rooms
3,shandy,ってことがあったの！イーラちゃん、きっと、文才あるわよー。,,,R,smile,talk,,3,
4,volcus,ふむ。,,,L,smile,talk,,33,
5,orend,おぉおぉ！そりゃいいや！最近は俺の頭もすっからかんになってきたし！,,,R,smile,talk,,17,
6,shandy,元からすっからかんの間違いでしょ。,,,R,normal,talk,,26,
7,orend,はっはっは！そうかもなあ！エンプティーエンプティー。,,,R,normal,talk,,8,
8,era,くぅー。くぅー。,,,L,unique,talk,,23,
9,shandy,こんなに騒いでるのに、良く寝てるわねぇ...。,,,R,normal,talk,,3,
10,volcus,うむ。,,,L,smile,talk,,37,
11,shandy,それで、ヴェルさんはイーラちゃんが脚本を書いていたのを知っていたのかしら？,,,R,normal,talk,,39,
12,volcus,ふむ。知っておった。私が演劇の練習に勤めている間、いそいそと何かをしておった。,,,L,smile,talk,,4,
13,orend,へえー！,,,R,normal,talk,,33,
14,volcus,夜になると、決まって私のところへきて昨晩の続きを話せとせがむのだ。,,,L,smile,talk,,7,
15,shandy,真面目なのね。,,,R,normal,talk,,32,
16,volcus,イーラも、自分なりに劇団の力になりたい、そう思っておるのだろう。,,,L,smile,talk,,51,
17,orend,おぉ！なんといじらしい！それなら、座長たる私が頑張って書いた脚本を演目に採用してあげようじゃないかあ！,,,R,normal,talk,,29,
18,shandy,ちょっと、流石に声が大きい。起こしちゃったら可哀想でしょ？,,,R,angry,talk,,25,
19,orend,おぉ。そうだったーそうだったー。ソーリーソーリー。,,,R,normal,talk,,31,
20,shandy,でも、面白そうね。ちゃんと手直しはすればいい題材な気がするし。,,,R,normal,talk,,43,
21,orend,そうさ！フレンドと一緒に、素晴らしい作品に仕上げるなんて、グッドな体験じゃないかあー。,,,R,normal,talk,,8,
22,volcus,ふむ。感謝する。,,,L,smile,talk,,5,
23,orend,おおよー。,,,R,normal,talk,,9,
24,volcus,して、オレンドよ。,,,L,smile,talk,,5,
25,orend,ほいほい？,,,R,normal,talk,,13,
26,volcus,そなたは半魔だと言ったな。,,,L,smile,talk,,7,
27,orend,ん？そうさあ！,,,R,normal,talk,,26,
28,volcus,そなた、自分の魔力がなぜ全くないのか理解しておるか？,,,L,smile,talk,,21,
29,orend,んー！・・・さあなあ。アーイドーントノー。,,,R,normal,talk,,3,
30,volcus,ふむ。,,,L,smile,talk,,28,
