,,,,,,,,,,
ただ君だけを、守りたいと願う　2章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,type,補足コメント,,背景画像名
2,,ーーエリスの家の前,,,,,none,背景切り替え/BGM切り替え(ピンチ),9,012_treatment_plase
3,silhouette_man_unique,おいおい、ちょっと胸ぐら掴んだくらいで取り乱すなよ、ちびっこ。,,,R,unique,talk,,31,
4,era,やめて！！ばあばにひどいことしないで！！,,,L,cry,talk,,20,
5,silhouette_man_unique,ちっ、わかったわかった。離すから騒ぐな。(エリスの胸ぐらを話す),,,R,unique,talk,,32,
6,eleth,はあはあ,,,L,confuse,talk,,4,
7,era,ばあば！,,,L,cry,talk,,4,
8,eleth,大丈夫さね。,,,L,confuse,talk,,6,
9,silhouette_man_unique,で、ばあさん、魔族がどこにいったか教えてくれませんかねぇ...。,,,R,unique,talk,,32,
10,eleth,本当に私は知りません。確かに、うちで一晩休まれましたが...,,,L,confuse,talk,,30,
11,silhouette_man_unique,いやいや、信じられないだろ。死にかけだったんだよ、昨晩は。それが1日休んだだけでころっと起きれるはずないわけよ。,,,R,unique,talk,,56,
12,eleth,本当です。立派な旦那様が魔族をおぶっていらっしゃって、あっという間に治療されたんです。,,,L,confuse,talk,,43,
13,silhouette_man_unique,嘘をつくな！ありえないんだよ！薬じゃそんなことはできない。例えばの話だが、魔法なんか使ったらなぁ、,,,R,unique,talk,,49,
14,silhouette_man_unique,この辺りの魔素検知器が反応して警報が鳴るはずだ！昨晩はなってないんだよ！,,,R,unique,talk,,36,
14,silhouette_man_unique,(その時サイレンが鳴り響く),,,R,unique,talk,サイレンのSE,,
14,silhouette_man_unique,な、なんだ！？,,,R,unique,talk,,,
15,,ーーその時町中の魔素検知器がけたたましいサイレンを鳴らし始める,,,,,none,サイレンのSE,31,
16,era,ひゃ！,,,L,cry,talk,,3,
17,silhouette_man_unique,な、何事だ！どうなってやがる！,,,R,unique,talk,,15,
18,eleth,・・・,,,L,confuse,talk,,3,
19,silhouette_man_unique,お、おい、お前ら、緊急事態だ。奴隷のことは後だ。今は家の中にはいっておけ。多分この近くが発信源だ。,,,R,unique,talk,,49,
20,eleth,・・・いいえ、大丈夫でございます。,,,L,normal,talk,＊目を瞑り、口角が下がった表情があればそれが良いと思います。,17,
21,silhouette_man_unique,・・・ん？意地はってないで早く家にはいっておけ。,,,R,unique,talk,,24,
22,eleth,・・・いいえ。,,,L,normal,talk,＊目を瞑り、口角が下がった表情があればそれが良いと思います。,7,
23,silhouette_man_unique,ん？なんだ、何か知ってるのか？,,,R,unique,talk,,15,
24,eleth,えぇ。私は半魔でございます。,,,L,normal,talk,＊目を瞑り、口角が下がった表情があればそれが良いと思います。,14,
25,era,え！？,,,L,cry,talk,,3,
26,eleth,つい、感情の高ぶりを抑えきれず魔素を放ってしまいましたが、サイレンの音で心が落ち着きました。,,,L,normal,talk,＊目を瞑り、口角が下がった表情があればそれが良いと思います。,46,
27,eleth,じきにサイレンもやむでしょう。,,,L,normal,talk,＊目を瞑り、口角が下がった表情があればそれが良いと思います。,,
28,silhouette_man_unique,・・・ほう？半魔とな？,,,R,unique,talk,,11,
29,eleth,すみませんでした。,,,L,normal,talk,＊目を瞑り、口角が下がった表情があればそれが良いと思います。,9,
30,silhouette_man_unique,・・・で、あんた、半魔の登録は？,,,R,unique,talk,,16,
31,eleth,していませんでした。,,,L,normal,talk,＊目を瞑り、口角が下がった表情があればそれが良いと思います。,10,
32,silhouette_man_unique,そうか。では、無断居住の罪で刑にかけさせてもらうが。よいのか？あんた...ここに昔から住んでんだろ？,,,R,unique,talk,,50,
33,eleth,かまいません。,,,L,normal,talk,＊目を瞑り、口角が下がった表情があればそれが良いと思います。,7,
34,era,ばあば！,,,L,cry,talk,,4,
35,eleth,大丈夫さね。イーラ。刑を受けたらすぐに戻って来れるからね。,,,L,smile,talk,,29,
36,silhouette_man_unique,・・・そうか。挨拶くらいは見逃してやる。,,,R,unique,talk,,20,
37,,ーーそういって貴族兵は背中を向ける,,,,,none,,17,
38,eleth,イーラ。ご飯の作り方はわかるかい？,,,L,smile,talk,,17,
39,era,まって！ばあば！今のは...！,,,L,cry,talk,,15,
40,eleth,しっ、だめよ。イーラ。あなたが捕まってしまったら、悲しむ人がたっくさんいるの。,,,L,smile,talk,,39,
41,era,なんで！でも！だからってばあばが！,,,L,cry,talk,,17,
42,eleth,私はもう十分に生きてきたさね。イーラとも、イーラのママとも十分に。,,,L,smile,talk,,33,
43,era,なんでよ、なんでよ...。あっ！ほら！今は大丈夫！ほら！ね！,,,L,cry,talk,,30,
44,eleth,お願いだから、聞き分けて頂戴。,,,L,smile,talk,,15,
45,silhouette_man_unique,おーい、そろそろいいかー。俺、脱走奴隷も見つけなくちゃいけないから。あんたに聞きたいこといっぱいあんのよ。,,,R,unique,talk,,53,
46,volcus,すまぬ。一足遅れた。,,,L,normal,talk,※口角下がり顔,10,
47,,ーーヴェルが空から、兵士の後ろに降りてくる(エリス、イーラ同時),,,,,none,空から落ちてくるSE,32,
48,eleth,ヴェル様！,,,L,confuse,talk,BGM切り替え(Gallantry),5,
49,era,ヴェル！,,,L,cry,talk,,4,
50,silhouette_man_unique,ん？,,,R,unique,talk,,2,
51,volcus,ふむ。守り人よ。私の友人が世話になった。,,,L,normal,talk,※口角下がり顔,20,
52,silhouette_man_unique,うおぉぉ！あんた誰だよ！,,,R,unique,talk,,12,
53,volcus,ふむ。ヴェルという。事態は急がねばならぬ...。さて。一つ、エリスよ。,,,L,normal,talk,※口角下がり顔,35,
54,eleth,は...はい？,,,L,confuse,talk,,7,
55,volcus,そなたは半魔ではない。,,,L,normal,talk,※口角下がり顔,11,
56,eleth,・・・はい？,,,L,confuse,talk,,6,
57,volcus,一つ、守り人よ。,,,L,normal,talk,※口角下がり顔,8,
58,silhouette_man_unique,な、なんだよ！,,,R,unique,talk,,7,
59,volcus,そなたの恋人が帰りを待っておったぞ。,,,L,normal,talk,※口角下がり顔,18,
60,silhouette_man_unique,・・・は？,,,R,unique,talk,,5,
61,volcus,そして、もう一つ。イーラよ。,,,L,normal,talk,※口角下がり顔,14,
62,era,ふぇ！？,,,L,cry,talk,,4,
63,volcus,空をみるのだ。,,,L,normal,talk,※口角下がり顔,7,
64,era,そ...そら？,,,L,cry,talk,,7,
65,silhouette_man_unique,あん？...な、なんじゃありゃ...,,,R,unique,talk,,18,
,,,,,,,none,場面の転換/背景切り替え,,046_dragon
66,eleth,暗雲(くらくも)に...龍...？,,,L,confuse,talk,,17,
67,era,なに、あれ？,,,L,cry,talk,,6,
68,volcus,魔王の気は、魔の者の姿を大きく変える力がある。,,,L,normal,talk,※口角下がり顔,23,
69,era,わ...私が...？,,,L,confuse,talk,,10,
70,volcus,そうだ。空に飛ぶ１匹の魔鳥さえ、あのような龍へ変えることができる...。イーラは溜めすぎたのだ。,,,L,normal,talk,※口角下がり顔,48,
71,era,え？え？,,,L,cry,talk,,4,
72,volcus,私は、イーラの素質に気づかなった。,,,L,normal,talk,※口角下がり顔,17,
73,silhouette_man_unique,ま...まて、あいつ街に！,,,R,unique,talk,,13,
74,volcus,主人を救おうとしておるのだろう。,,,L,normal,talk,※口角下がり顔,16,
