秒数,布陣,キャラクター,レベル
1,敵,Enemy_25,2
2,味方,Npc_01,2
3,味方,Npc_03,2
5,敵,Enemy_25,2
6,味方,Npc_01,2
7,味方,Npc_03,2
15,敵,Enemy_25,2
16,味方,Npc_01,2
17,味方,Npc_03,2
20,味方,Orend_01,2
30,敵,Enemy_07,2
31,敵,Enemy_21,2
32,敵,Enemy_22,2
33,敵,Enemy_23,2
34,敵,Enemy_24,2
35,敵,Enemy_25,2
36,敵,Enemy_24,2
37,敵,Enemy_24,2
38,敵,Enemy_25,2
39,敵,Enemy_25,2
40,敵,Enemy_24,2
41,敵,Enemy_25,2
42,敵,Enemy_24,2
43,敵,Enemy_22,2
44,敵,Enemy_21,2
45,敵,Enemy_22,2
60,敵,Enemy_22,4
63,敵,Enemy_22,4
66,敵,Enemy_22,4
69,敵,Enemy_22,4
72,敵,Enemy_22,4
