秒数,布陣,キャラクター,レベル
1,敵,Enemy_08,1
3,敵,Enemy_10,1
5,敵,Enemy_08,1
7,敵,Enemy_10,1
9,敵,Enemy_04,1
10,敵,Enemy_05,1
11,敵,Enemy_06,1
12,敵,Enemy_07,1
13,敵,Enemy_04,1
14,敵,Enemy_05,1
15,敵,Enemy_06,1
16,敵,Enemy_07,1
17,敵,Enemy_04,1
18,敵,Enemy_05,1
19,敵,Enemy_06,1
20,敵,Enemy_07,1
21,敵,Enemy_04,1
22,敵,Enemy_05,1
23,敵,Enemy_06,1
24,敵,Enemy_07,1
30,敵,Enemy_04,1
31,敵,Enemy_05,1
32,敵,Enemy_06,1
33,敵,Enemy_07,1
34,敵,Enemy_04,1
35,敵,Enemy_05,1
36,敵,Enemy_06,1
37,敵,Enemy_07,1
40,敵,Enemy_08,1
42,敵,Enemy_10,1
44,敵,Enemy_08,1
46,敵,Enemy_10,1
