秒数,布陣,キャラクター,レベル
1,味方,Orend_01,5
2,敵,Boss_06,2
3,味方,Era_01,5
4,敵,Enemy_15,2
5,敵,Enemy_15,2
6,敵,Enemy_15,2
7,敵,Enemy_16,2
29,敵,Enemy_15,2
30,敵,Enemy_15,2
31,敵,Enemy_15,2
32,敵,Enemy_16,2
54,敵,Enemy_15,2
55,敵,Enemy_15,2
56,敵,Enemy_15,2
57,敵,Enemy_16,2
79,敵,Enemy_15,2
80,敵,Enemy_15,2
81,敵,Enemy_15,2
82,敵,Enemy_16,2
104,敵,Enemy_15,2
105,敵,Enemy_15,2
106,敵,Enemy_15,2
107,敵,Enemy_16,2
119,敵,Enemy_15,2
120,敵,Enemy_15,2
121,敵,Enemy_15,2
122,敵,Enemy_16,2
134,敵,Enemy_15,2
135,敵,Enemy_15,2
136,敵,Enemy_15,2
137,敵,Enemy_16,2
149,敵,Enemy_15,2
150,敵,Enemy_15,2
151,敵,Enemy_15,2
152,敵,Enemy_16,2
164,敵,Enemy_15,2
165,敵,Enemy_15,2
166,敵,Enemy_15,2
167,敵,Enemy_16,2
179,敵,Enemy_15,2
180,敵,Enemy_15,2
181,敵,Enemy_15,2
182,敵,Enemy_16,2
