秒数,布陣,キャラクター,レベル,敵名,リソース,,,,,
1,敵,Enemy_04,1,村人：酔っ払い,20,,ID,レベル帯,合計リソースイメージ,Wave数
3,敵,Enemy_05,1,村人：野次馬の奥様方,25,,104,1,681,1
4,敵,Enemy_06,1,村人：走る子供,15,,,,,
5,敵,Enemy_06,1,村人：走る子供,15,,ステージタイトル,場面1,場面2,場面3
8,敵,Enemy_05,1,村人：野次馬の奥様方,25,,序幕 奴隷,サーカス,夕方の街,夕方の民家
9,敵,Enemy_05,1,村人：野次馬の奥様方,25,,,,,
10,敵,Enemy_07,1,村人：大道芸人,46,,合計リソース数,,,
11,敵,Enemy_04,1,村人：酔っ払い,20,,467,,,
12,敵,Enemy_04,1,村人：酔っ払い,20,,,,,
13,敵,Enemy_06,1,村人：走る子供,15,,,,,
15,敵,Enemy_06,1,村人：走る子供,15,,,,,
16,敵,Enemy_05,1,村人：野次馬の奥様方,25,,,,,
17,敵,Enemy_05,1,村人：野次馬の奥様方,25,,,,,
32,敵,Enemy_03,1,貴族兵：猟犬,15,,,,,
33,敵,Enemy_03,1,貴族兵：猟犬,15,,,,,
33.1,敵,Enemy_01,1,貴族兵：剣,45,,,,,
33.2,敵,Enemy_01,1,貴族兵：剣,45,,,,,
33.3,敵,Enemy_02,1,貴族兵：銃,56,,,,,
