秒数,布陣,キャラクター,レベル
15,味方,Npc_01,1
30,味方,Npc_02,1
45,味方,Npc_03,1
60,味方,Npc_04,1
75,味方,Npc_05,1
90,味方,Npc_07,1
105,味方,Npc_08,1
120,味方,Npc_09,1
135,味方,Npc_10,1
150,味方,Npc_11,1
165,味方,Npc_12,1
180,味方,Npc_13,1
195,味方,Npc_14,1
210,味方,Summon_01,1
225,味方,Summon_02,1
240,味方,Summon_03,1
255,味方,Summon_04,1
270,敵,Boss_01,1
285,敵,Boss_02,1
300,敵,Boss_03,1
315,敵,Boss_04,1
330,敵,Boss_05,1
345,敵,Boss_06,1
360,敵,Enemy_01,1
375,敵,Enemy_02,1
390,敵,Enemy_03,1
405,敵,Enemy_04,1
420,敵,Enemy_05,1
435,敵,Enemy_06,1
450,敵,Enemy_07,1
465,敵,Enemy_08,1
480,敵,Enemy_09,1
495,敵,Enemy_10,1
510,敵,Enemy_11,1
525,敵,Enemy_12,1
540,敵,Enemy_13,1
555,敵,Enemy_14,1
570,敵,Enemy_15,1
585,敵,Enemy_16,1
600,敵,Enemy_17,1
615,敵,Enemy_18,1
630,敵,Enemy_19,1
645,敵,Enemy_20,1
660,敵,Enemy_21,1
675,敵,Enemy_22,1
690,敵,Enemy_23,1
705,敵,Enemy_24,1
720,敵,Enemy_25,1
735,敵,Enemy_26,1
750,敵,Enemy_27,1
765,敵,Enemy_28,1
780,敵,Enemy_29,1
795,敵,Enemy_30,1
810,敵,Enemy_31,1
825,敵,Enemy_32,1
840,敵,Enemy_33,1
855,味方,Era_01,2
870,味方,Eleth_01,2
885,味方,Orend_01,2
900,味方,Sara_01,2
915,味方,Shandy_01,2
930,味方,Loxy_01,2
