秒数,布陣,キャラクター,レベル
1,味方,Orend_01,5
2,敵,Enemy_32,1
3,敵,Enemy_33,1
16,敵,Enemy_26,1
17,敵,Enemy_27,1
18,敵,Enemy_28,1
19,敵,Enemy_29,1
20,敵,Enemy_30,1
21,敵,Enemy_31,1
35,敵,Enemy_21,2
36,敵,Enemy_22,2
37,敵,Enemy_23,2
38,敵,Enemy_24,2
39,敵,Enemy_25,2
55,敵,Enemy_17,2
56,敵,Enemy_18,2
57,敵,Enemy_19,2
58,敵,Enemy_20,2
59,敵,Enemy_15,2
60,敵,Enemy_16,2
75,敵,Enemy_12,2
76,敵,Enemy_13,2
77,敵,Enemy_14,2
78,敵,Enemy_11,2
79,敵,Boss_02,2
91,敵,Enemy_08,2
92,敵,Enemy_09,2
93,敵,Enemy_10,2
94,敵,Enemy_04,3
95,敵,Enemy_05,3
96,敵,Enemy_06,3
97,敵,Enemy_07,3
110,敵,Enemy_01,3
111,敵,Enemy_02,3
112,敵,Enemy_03,3
130,敵,Boss_03,2
