秒数,布陣,キャラクター,レベル
0.5,敵,Enemy_01,2
1,敵,Enemy_02,2
1.5,敵,Enemy_03,2
2,敵,Enemy_04,2
2.5,敵,Enemy_05,2
3,敵,Enemy_06,2
3.5,敵,Enemy_07,2
4,敵,Enemy_08,2
4.5,敵,Enemy_09,2
5,敵,Enemy_10,2
5.5,敵,Enemy_11,2
6,敵,Enemy_08,2
6.5,敵,Enemy_08,2
7,敵,Enemy_10,2
7.5,敵,Enemy_01,2
8,敵,Enemy_02,2
8.5,敵,Enemy_10,2
9,敵,Enemy_09,2
12,敵,Enemy_17,1
12.3,敵,Enemy_19,1
12.6,敵,Enemy_18,1
22,敵,Enemy_19,1
23,敵,Enemy_17,1
24,敵,Enemy_19,1
25,敵,Enemy_17,1
35,敵,Enemy_19,1
35.3,敵,Enemy_17,1
35.6,敵,Enemy_18,1
35.9,敵,Enemy_17,1
36.2,敵,Enemy_18,1
36.5,敵,Enemy_19,1
36.8,敵,Enemy_20,1
